similar,"n. 类似物
adj. 相似的"
inspect,"vt. 检查；视察；检阅
vi. 进行检查；进行视察"
expect,"vi. 期待；预期
vt. 期望；指望；认为；预料"
fond,"adj. 喜欢的；温柔的；宠爱的
"
invite,"n. 邀请
vt. 邀请，招待；招致"
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
support,"n. 支持，维持；支援，供养；支持者，支撑物
vt. 支持，支撑，支援；扶持，帮助；赡养，供养"
request,"n. 请求；需要
vt. 要求，请求"
search,"n. 搜寻；探究，查究
vt. 搜索；搜寻；调查；搜查；探求
vi. 搜寻；调查；探求
"
research,"n. 研究；调查
vt. 研究；调查
vi. 研究；调查
[ 过去式 researched 过去分词 researched 现在分词 researching ]"
excuse,"n. 借口；理由
vt. 原谅；为…申辩；给…免去
vi. 作为借口；请求宽恕；表示宽恕"
apology,n. 道歉；谢罪；辩护；勉强的替代物
apologise,vi. 道歉（等于apologize）
apologize,"vi. 道歉；辩解；赔不是
vt. 道歉；谢罪；辩白"
regret,"n. 遗憾；抱歉；悲叹
vi. 感到后悔；感到抱歉
vt. 后悔；惋惜；哀悼"
repeat,"n. 重复；副本
vi. 重做；重复发生
vt. 重复；复制；背诵"
anger,"n. 怒，愤怒；忿怒
vt. 使发怒，激怒；恼火
vi. 发怒；恼火
"
rude,"adj. 粗鲁的；无礼的；狂暴的；未开化的
"
panic,"n. 恐慌，惊慌；大恐慌
adj. 恐慌的；没有理由的
vt. 使恐慌
vi. 十分惊慌
"
pain,"n. 疼痛；努力
vt. 使…痛苦；使…烦恼
vi. 感到疼痛；引起疼痛
"
painful,adj. 痛苦的；疼痛的；令人不快的
desperate,adj. 不顾一切的；令人绝望的；极度渴望的
laughter,n. 笑；笑声
silent,"n. 无声电影
adj. 沉默的；寂静的；无记载的"
lively,"adj. 活泼的；生动的；真实的；生气勃勃的
"
vivid,adj. 生动的；鲜明的；鲜艳的
friendship,"n. 友谊；友爱；友善
"
character,"n. 性格，品质；特性；角色；[计] 字符
vt. 印，刻；使具有特征
"
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
instruct,vt. 指导；通知；命令；教授
instruction,n. 指令，命令；指示；教导；用法说明
reputation,n. 名声，名誉；声望
preference,n. 偏爱，倾向；优先权
nowadays,"adv. 现今；时下
n. 当今"
decade,n. 十年，十年期；十
urban,"adj. 城市的；住在都市的
"
safety,n. 安全；保险；安全设备；保险装置；安打
vehicle,n. [车辆] 车辆；工具；交通工具；运载工具；传播媒介；媒介物
wheel,"n. 车轮；方向盘；转动
vt. 转动；使变换方向；给…装轮子
vi. 旋转；突然转变方向；盘旋飞行"
civil,"adj. 公民的；民间的；文职的；有礼貌的；根据民法的
"
civilian,"n. 平民，百姓
adj. 民用的；百姓的，平民的"
civilisation,n. （英）文明（等于civilization）
civilization,n. 文明；文化
disaster,n. 灾难，灾祸；不幸
preparation,n. 预备；准备
arise,"vi. 出现；上升；起立
"
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升
"
rise,"n. 上升；高地；增加；出现
vt. 使…飞起；使…浮上水面
vi. 上升；增强；起立；高耸"
encourage,vt. 鼓励，怂恿；激励；支持
discourage,vt. 阻止；使气馁
courage,"n. 勇气；胆量
"
increase,"n. 增加，增长；提高
vt. 增加，加大
vi. 增加，增大；繁殖
"
decrease,"n. 减少，减小；减少量
vt. 减少，减小
vi. 减少，减小"
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
develop,"vi. 发育；生长；进化；显露
vt. 开发；进步；使成长；使显影"
development,n. 发展；开发；发育；住宅小区（专指由同一开发商开发的）；[摄] 显影
growth,n. 增长；发展；生长；种植
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
performance,n. 性能；绩效；表演；执行；表现
excellent,adj. 卓越的；极好的；杰出的
surface,"n. 表面；表层；外观
adj. 表面的，肤浅的
vt. 使浮出水面；使成平面
vi. 浮出水面
"
voice,"n. 声音；嗓音；发言权；愿望
vt. 表达；吐露"
language,n. 语言；语言文字；表达能力
oral,"n. 口试
adj. 口头的，口述的
"
accent,"n. 口音；重音；强调；特点；重音符号
vt. 强调；重读；带…口音讲话"
spelling,"n. 拼写；拼字；拼法
v. 拼写；意味着（spell的ing形式）；迷住
"
abroad,"n. 海外；异国
adj. 往国外的
adv. 在国外；到海外"
interview,"n. 接见，采访；面试，面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
opinion,n. 意见；主张
thought,"n. 思想；思考；想法；关心
v. 想，思考；认为（think的过去式和过去分词）"
author,"n. 作者；作家；创始人
vt. 创作出版"
authority,n. 权威；权力；当局
host,"n. [计] 主机；主人；主持人；许多
vt. 主持；当主人招待
vi. 群集；做主人"
guest,"n. 客人，宾客；顾客
adj. 客人的；特邀的，客座的
vt. 款待，招待
vi. 作客，寄宿
"
gifted,"adj. 有天赋的；有才华的
v. 给予（gift的过去分词）"
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
presentation,n. 展示；描述，陈述；介绍；赠送
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
representative,"n. 代表；典型；众议员
adj. 典型的，有代表性的；代议制的"
thankful,adj. 感谢的；欣慰的
treat,"n. 请客；款待
vi. 探讨；请客；协商
vt. 治疗；对待；探讨；视为
"
treatment,n. 治疗，疗法；处理；对待
hardship,n. 困苦；苦难；艰难险阻
sweat,"n. 汗；水珠；焦急；苦差使
vt. 使出汗；流出；使干苦活；剥削；藉出汗减轻；焦急地期待
vi. 出汗；辛苦工作；懊恼；结水珠"
sadness,n. 悲哀
merry,"adj. 愉快的；微醉的；嬉戏作乐的
n. 甜樱桃
"
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
possession,n. 拥有；财产；领地；自制；着迷
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
analyse,vt. 分析；分解；细察
analyze,vt. 对…进行分析，分解（等于analyse）
handle,"n. [建] 把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
height,n. 高地；高度；身高；顶点
significance,n. 意义；重要性；意思
precious,"adj. 宝贵的；珍贵的；矫揉造作的
"
convenient,adj. 方便的；[废语]适当的；[口语]近便的；实用的
convenience,n. 便利；厕所；便利的事物
plenty,"n. 丰富，大量；充足
adj. 足够的，很多的
adv. 足够
"
spare,"n. 剩余；备用零件
vt. 节约，吝惜；饶恕；分出，分让
adj. 多余的；瘦的；少量的
vi. 饶恕，宽恕；节约"
public,"n. 公众；社会；公共场所
adj. 公众的；政府的；公用的；公立的
"
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
lose,"vt. 浪费；使沉溺于；使迷路；遗失；错过
vi. 失败；受损失
"
loss,"n. 减少；亏损；失败；遗失
"
miss,"n. 女士，小姐，年轻未婚女子
vt. 错过，想念，缺（勤）"
shut,"n. 关闭
adj. 关闭的；围绕的
vi. 关上；停止营业
vt. 关闭；停业；幽禁
"
depth,n. [海洋] 深度；深奥
freedom,"n. 自由，自主；直率
"
aside,"prep. 在…旁边
n. 旁白；私语，悄悄话；离题的话
adv. 离开，撇开；在旁边"
beauty,n. 美；美丽；美人；美好的东西
tiny,"adj. 微小的；很少的
"
danger,"n. 危险；危险物，威胁
"
cost,"n. 费用，代价，成本；损失
vt. 花费；使付出；使花许多钱
vi. 花费
"
spend,"n. 预算
vt. 度过，消磨（时光）；花费；浪费；用尽
vi. 花钱；用尽，耗尽"
pay,"n. 工资，薪水；付款；报答
vt. 支付，付；偿还，补偿；给予
vi. 付款；偿还
adj. 收费的；需付费的"
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
percent,"n. 百分比，百分率；部分；百分数
adj. 百分之…的
adv. 以百分之…地"
percentage,n. 百分比；百分率，百分数
discount,"n. 折扣；贴现率
vt. 打折扣；将…贴现；贬损；低估；忽视
vi. 贴现；打折扣出售商品"
cash,"n. 现款，现金
vt. 将…兑现；支付现款
"
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上
"
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
accept,"vi. 承认；同意；承兑
vt. 接受；承认；承担；承兑；容纳"
afford,"vt. 给予，提供；买得起
"
supply,"n. 供给，补给；供应品
vt. 供给，提供；补充
vi. 供给；替代"
pack,"n. 包装；一群；背包；包裹；一副
vt. 包装；压紧；捆扎；挑选；塞满
vi. 挤；包装货物；被包装；群集
"
package,"n. 包，包裹；套装软件，[计] 程序包
adj. 一揽子的
vt. 打包；将…包装"
packet,"n. 数据包，信息包；小包，小捆
vt. 包装，打包"
parcel,"n. 包裹，小包
vt. 打包；捆扎
"
worth,"n. 价值；财产
adj. 值…的
"
worthy,"n. 杰出人物；知名人士
adj. 值得的；有价值的；配得上的，相称的；可尊敬的；应…的
"
worthwhile,adj. 值得做的，值得花时间的
deserve,"vi. 应受，应得
vt. 应受，应得"
value,"n. 值；价值；价格；重要性；确切涵义
vt. 评价；重视；估价"
valuable,"n. 贵重物品
adj. 有价值的；贵重的；可估价的"
useless,adj. 无用的；无效的
educate,"vt. 教育；培养；训练
vi. 教育；训练"
education,n. 教育；培养；教育学
lecture,"n. 演讲；讲稿；教训
vt. 演讲；训诫
vi. 讲课；讲演"
coach,"n. 教练；旅客车厢；长途公车；四轮大马车
vt. 训练；指导
vi. 作指导；接受辅导；坐马车旅行
n.  蔻驰（皮革品牌）"
hopeful,"n. 有希望成功的人
adj. 有希望的；有前途的"
grateful,adj. 感谢的；令人愉快的，宜人的
confident,adj. 自信的；确信的
create,vt. 创造，创作；造成
creative,adj. 创造性的
attract,"vt. 吸引；引起
vi. 吸引；有吸引力"
attractive,adj. 吸引人的；有魅力的；引人注目的
attraction,n. 吸引，吸引力；引力；吸引人的事物
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
superb,"adj. 极好的；华丽的；宏伟的
"
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
voluntary,"n. 志愿者；自愿行动
adj. 自愿的；志愿的；自发的；故意的"
satisfy,"vi. 令人满意；令人满足
vt. 满足；说服，使相信；使满意，使高兴"
satisfaction,n. 满意，满足；赔偿；乐事；赎罪
pleasant,"adj. 令人愉快的，舒适的；讨人喜欢的，和蔼可亲的
"
attend,"vi. 出席；致力于；照料；照顾
vt. 出席；上（大学等）；照料；招待；陪伴"
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
foreign,adj. 外国的；外交的；异质的；不相关的
population,n. 人口；[生物] 种群，[生物] 群体；全体居民
intend,"vi. 有打算
vt. 打算；想要；意指"
intention,n. 意图；目的；意向；愈合
purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
desire,"n. 欲望；要求，心愿；性欲
vt. 想要；要求；希望得到…
vi. 渴望
"
list,"n. [计] 列表；清单；目录
vi. 列于表上
vt. 列出；记入名单内
"
storage,n. 存储；仓库；贮藏所
rush,"n. 冲进；匆促；急流；灯心草
adj. 急需的
vt. 使冲；突袭；匆忙地做；飞跃
vi. 冲；奔；闯；赶紧；涌现
"
draw,"n. 平局；抽签
vi. 拉；拖
vt. 画；拉；吸引
"
strike,"n. 罢工；打击；殴打
vi. 打，打击；罢工；敲，敲击；抓；打动；穿透
vt. 打，击；罢工；撞击，冲击；侵袭；打动；到达
"
drag,"n. 拖；拖累
vi. 拖曳；缓慢而吃力地行进
vt. 拖累；拖拉；缓慢而吃力地行进
"
recent,adj. 最近的；近代的
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
last,"n. 末尾，最后；上个；鞋楦（做鞋的模型）
adj. 最后的；最近的，最新的；仅剩的；最不可能…的
vi. 持续；维持，够用；持久
vt. 度过，拖过；使维持
adv. 最后地；上次，最近；最后一点
"
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
favour,"n. 偏爱；赞同；善行
vt. 赞成；喜爱；有助于"
favor,"n. 喜爱；欢心；好感
vt. 赞成；喜欢；像；赐予；证实"
favourite,"n. 特别喜爱的人（或物）
adj. 特别受喜爱的"
favorite,"n. 幸运儿；喜欢的事物；特别喜欢的人
adj. 最喜爱的；中意的；宠爱的"
pleased,"adj. 高兴的；喜欢的；乐意做某事
v. 满意；愿意（please的过去分词形式）"
pleasure,"n. 快乐；希望；娱乐；令人高兴的事
vt. 使高兴；使满意
vi. 高兴；寻欢作乐"
base,"n. 基础；底部；垒
adj. 卑鄙的；低劣的
vt. 以…作基础
"
basis,n. 基础；底部；主要成分；基本原则或原理
basic,"n. 基础；要素
adj. 基本的；基础的"
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
fill,"n. 满足；填满的量；装填物
vt. 装满，使充满；满足；堵塞；任职
vi. 被充满，膨胀
"
offer,"vt. 提供；出价；试图
n. 提议；出价；意图；录取通知书
vi. 提议；出现；献祭；求婚"
provide,"vt. 提供；规定；准备；装备
vi. 规定；抚养；作准备"
cover,"n. 封面，封皮；盖子；掩蔽物;幌子，借口
vt. 包括；采访，报导；涉及
vi. 覆盖；代替
"
discover,"vi. 发现
vt. 发现；发觉"
discovery,n. 发现，发觉；被发现的事物
recover,"n. 还原至预备姿势
vt. 恢复；弥补；重新获得
vi. 恢复；胜诉；重新得球
"
cure,"n. 治疗；治愈；[临床] 疗法
vt. 治疗；治愈；使硫化；加工处理
vi. 治病；痊愈；受治疗；被硫化；被加工处理
"
bleed,"vt. 使出血；榨取
vi. 流血；渗出；悲痛"
medicine,"n. 药；医学；内科；巫术
vt. 用药物治疗；给…用药"
medical,"adj. 医学的；药的；内科的
n. 医生；体格检查"
pill,"n. 药丸；弹丸，子弹；口服避孕药
vt. 把…制成丸剂；使服用药丸；抢劫，掠夺（古语）
vi. 做成药丸；服药丸
"
tablet,"n. 碑；药片；写字板；小块；平板电脑
vt. 用碑牌纪念；将(备忘录等)写在板上；将…制成小片或小块"
aid,"n. 援助；帮助；助手；帮助者
vt. 援助；帮助；有助于
vi. 帮助
"
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
attack,"n. 攻击；抨击；疾病发作
vt. 攻击；抨击；动手干
vi. 攻击；腐蚀
"
compete,vi. 竞争；比赛；对抗
competition,n. 竞争；比赛，竞赛
invent,vt. 发明；创造；虚构
invention,n. 发明；发明物；虚构；发明才能
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
preview,"n. 预览；试映；事先查看
vt. 预览；预演；事先查看"
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
require,vt. 需要；要求；命令
requirement,n. 要求；必要条件；必需品
scene,n. 场面；情景；景象；事件
scenery,n. 风景；景色；舞台布景
sight,"n. 视力；景象；眼界；见解
adj. 见票即付的；即席的
vt. 看见；瞄准
vi. 瞄准；观看"
top,"n. 顶部，顶端；上部；首席；陀螺
adj. 最高的，顶上的；头等的
vt. 超越，超过；给…加盖；达到…的顶端
vi. 高出，超越；结束；达到顶点
"
warn,"vt. 警告，提醒；通知
vi. 发出警告，发出预告
"
advise,"vt. 建议；劝告，忠告；通知；警告
vi. 建议；与…商量"
advice,n. 建议；忠告；劝告；通知
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
suggest,vt. 提议，建议；启发；使人想起；显示；暗示
suggestion,n. 建议；示意；微量，细微的迹象
saying,"n. 话；谚语；言论
v. 说（say的ing形式）"
remind,vt. 提醒；使想起
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
response,n. 响应；反应；回答
responsible,adj. 负责的，可靠的；有责任的
responsibility,n. 责任，职责；义务
shoulder,"n. 肩，肩膀；肩部
vi. 用肩推挤，用肩顶
vt. 肩负，承担"
enter,"n. [计] 输入；回车
vt. 进入；开始；参加
vi. 参加，登场；进去
"
entrance,"n. 入口；进入
vt. 使出神，使入迷"
entry,n. 进入；入口；条目；登记；报关手续；对土地的侵占
exit,"n. 出口，通道；退场
vi. 退出；离去"
order,"n. 命令；顺序；规则；[贸易] 定单
vt. 命令；整理；定购
vi. 命令；定货"
vacation,"n. 假期；（房屋）搬出
vi. 休假，度假"
lie,"vi. 躺；说谎；位于；展现
vt. 谎骗
n. 谎言；位置
"
due,"n. 应付款；应得之物
adj. 到期的；预期的；应付的；应得的
adv. 正（置于方位词前）
"
consist,vi. 由…组成；在于；符合
consistent,adj. 始终如一的，一致的；坚持的
regard,"n. 注意；尊重；问候；凝视
vi. 注意，注重；注视
vt. 注重，考虑；看待；尊敬；把…看作；与…有关
"
regardless,"adj. 不管的；不顾的；不注意的
adv. 不顾后果地；不管怎样，无论如何；不惜费用地"
thick,"n. 最拥挤部分；活动最多部分；事物的粗大浓密部分
adj. 厚的；浓的；粗大的
adv. 密集地；浓浓地，厚厚地
"
thin,"n. 细小部分
adj. 薄的；瘦的；稀薄的；微弱的
vt. 使瘦；使淡；使稀疏
vi. 变薄；变瘦；变淡
adv. 稀疏地；微弱地
"
cause,"n. 原因；事业；目标
vt. 引起；使遭受"
result,"n. 结果；成绩；答案；比赛结果
vi. 结果；导致；产生"
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
reflection,n. 反射；沉思；映象
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
affection,n. 喜爱，感情；影响；感染
outcome,n. 结果，结局；成果
consequence,n. 结果；重要性；推论
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
conclusion,n. 结论；结局；推论
globe,"n. 地球；地球仪；球体
vt. 使…成球形
vi. 成球状"
pole,"n. 杆；极点；电极
vt. 用竿支撑"
lead,"n. 领导；铅；导线；榜样
vt. 领导；致使；引导；指挥
vi. 领导；导致；用水砣测深
adj. 带头的；最重要的
"
chief,"n. 首领；酋长；主要部分
adj. 首席的；主要的；主任的
adv. 主要地；首要地"
professional,"n. 专业人员；职业运动员
adj. 专业的；职业的；职业性的"
expert,"n. 专家；行家；能手
adj. 熟练的；内行的；老练的
vt. 当专家；在…中当行家
"
guide,"n. 指南；向导；入门书
vt. 引导；带领；操纵
vi. 担任向导
"
guidance,n. 指导，引导；领导
avoid,vt. 避免；避开，躲避；消除
depend,vi. 依赖，依靠；取决于；相信，信赖
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
rely,vi. 依靠；信赖
smart,"adj. 聪明的；巧妙的；敏捷的；厉害的；潇洒的；剧烈的；时髦的
"
clever,"adj. 聪明的；机灵的；熟练的
[ 比较级cleverer 最高级 cleverest ]"
bright,"n. 车头灯光
adj. 明亮的，鲜明的；聪明的；愉快的
adv. 明亮地；光明地；欢快地
"
fool,"n. 傻瓜；愚人；受骗者
vt. 欺骗，愚弄
adj. 傻的
vi. 欺骗；开玩笑；戏弄"
stupid,"n. 傻瓜，笨蛋
adj. 愚蠢的；麻木的；乏味的"
silly,"n. 傻瓜
adj. 愚蠢的；不明事理的；没头脑的
"
competence,n. 能力，胜任；权限；作证能力；足以过舒适生活的收入
intelligent,adj. 智能的；聪明的；理解力强的
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
update,"n. 更新；现代化
vt. 更新；校正，修正；使现代化"
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
statistic,"n. 统计数值
adj. 统计的，统计学的"
digital,"n. 数字；键
adj. 数字的；手指的"
reliable,"n. 可靠的人
adj. 可靠的；可信赖的"
flexible,adj. 灵活的；柔韧的；易弯曲的
fix,"n. 困境；方位；贿赂
vt. 使固定；修理；安装；准备
vi. 固定；注视
"
convince,vt. 说服；使确信，使信服
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
quarrel,"n. 吵架；反目；怨言；争吵的原因；方头凿
vi. 吵架；争论；挑剔"
argue,"vi. 争论，辩论；提出理由
vt. 辩论，争论；证明；说服
"
argument,n. 论证；论据；争吵；内容提要
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
association,n. 协会，联盟，社团；联合；联想
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号
"
sheet,"n. 薄片，纸张；薄板；床单
adj. 片状的
vt. 覆盖；盖上被单；使成大片
vi. 成片流动；大片落下
"
birthplace,"n. 出生地
发源地"
sex,"n. 性；性别；性行为；色情
vt. 引起…的性欲；区别…的性别"
male,"adj. 男性的；雄性的；有力的
n. 男人；雄性动物
"
