a bit of,"na. 一点儿
"
in order,"na. 整整齐齐；合规则；情况正常；健康
"
in order to,"na. 为了；从而；以便
"
in public,"na. 公然
"
in red, 穿着红色的衣服；穿着红衣服；身穿红衣服
in return,"na. 作报复[报酬,回答,报答]；作替换
"
in safety,"na. 平安地
"
in search of,"na. 寻找；去找；追求；为了寻求
"
in short,"na. 简单地说；总之
"
in spite of,"na. spite of 不管；〔古语〕无视
"
in style,"na. 有样子；“in/out of style”的变体
"
in surprise,"adv. 惊奇地
"
in the 1970s,无
in the dark,"na. 秘密；在暗处；不知
"
in the day, 在白天；在昼；在白昼
in the end,"na. 终于
"
in the form of,"na. 用…的形式
"
in the future,"adv. 今后
"
in the habit of,"un. 养成习惯；一向；总得；动不动就
"
in the middle of,"na. 正在…当中；在…的中途；在…的中央；在…的中部
"
in the open air,"na. 在户外[野外]
"
in the past,"na. 在过去
"
in the past few years,无
in this way,"na. 用这个办法
"
in time,"na. 经过一段时间以后；早晚；在恰好的时候；和…合拍
"
in trouble,"na. 为难；被捕；未婚怀孕
"
in turn,"na. 挨次
"
instead of,"prep. 代替；作为…的替换
"
join in,"na. 参加；参与
"
join sb.,"vt. 参加；结合；连接
vi. 加入；参加；结合
n. 结合；连接；接合点
"
join the army,"na. 参军；入伍
"
jump off,"na. 【军】突然出动攻击；开始
"
just a moment,"na. “just/wait a moment”的变体
"
just now,"na. 刚才；正在
"
just then,"na. 正在那时
"
keep a diary,"na. 记日记
"
keep doing sth., 继续做；坚持做某事；一直做某事
keep fit,"na. 保持健康
"
keep in good health, 保持健康；养生；保持身体健康
keep sb. in good health, 保持健康；养生；保持身体健康
keep in mind,"na. 记在心里；记住；注意
"
keep in touch with,"v. 与…保持接触
"
keep off,"na. 不让接近；不接近
"
keep out,"v. 防止进入；阻止；不参加
"
keep quiet,"na. (对某事)保守秘密
"
keep secrets,无
keep a secret,"na. 守秘密；(保)守秘密
"
keep up with,"na. 不落后
"
keep ... from doing sth., 避免做；避免做某事；从某事中停下来
kind of,"na. 有点儿；有几分
"
knock at the door, 敲门；敲敲门；敲门声
knock on the door,夜晚敲门(恐怖统治的标志)；夜晚敲门(恐怖统治的标志)[亦作knock in the night]
knock into,"na. 敲进
"
knock over,"na. 弄倒；屈服；死；逮捕
"
know about,"v. 知道
"
later on,"na. 过后；后来
"
laugh at,"na. 嘲笑；付之一笑；因…而发笑
"
lead to,"na. 通向
"
learn about,"v. 得知关于；学习关于
"
learn ... by heart,"na. 记住；熟记
"
learn from,"v. 学习
"
leave a message,"na. 留话
"
leave ... alone,"na. 丢下不管；不要管
"
leave for,"un. 到…地方去；去某地:
"
lend to,"un. 贡献:
"
less and less,"un. 扣去；越来越少
"
less than,"adj. 少于
"
let ... down,"na. 使失望；放下；丢面子
"
let out,"na. 放宽；打；放出；泄漏
"
lie down,"v. 躺下；不反抗；屈服；顺从
"
lie in,"na. 存在于；(分娩后)坐月子
"
light up,"na. 点灯；照亮；点香烟；变快活
"
line up,"na. 整顿(机械等)；排成一列；使(兵士)排齐；整顿阵容
"
listen to,"v. 听
"
live in,"na. 住进；(雇员)住在东家
"
live on,"na. 以…为主食；靠…生活；继续活着；靠［吃］…生活
"
long before,"na. 很久以前；老早以前
"
long for,"v. 渴望
"
look after,"na. 照看；照顾；看管；对…负责
"
look around,"na. 看起来好像；环视
"
look at,"na. 看；考虑
"
look down on,"v. 轻视；看不起
"
look for,"v. 寻找；探索；渴望；盼望
"
look forward to,"na. 盼望
"
look into,"na. 窥视；调查；过问
"
look like, 看起来与（某人或某物）相像[相似]; 很可能出现[引起]（某事、做某事）; 伣; 似
look out,"na. 挑选；注意；看外头；展望 (on；over)
"
look out of, 向外看；朝外看；从……朝外看
look up,"v. 查找；查阅；探望；看望
"
look over,"na. 浏览；检查；察看
"
look through,"na. 浏览；翻查；对…视而不见；看穿
"
lose hope,"v. 失望
"
lose one's job, 失业；失掉职位；打破饭碗
lose one's life,"na. 死；丢了性命
"
lose weight,"un. 体重减轻
"
lots of,"adj. 许多；很多
"
major in,"v. 主修
"
make a choice,"un. 不得不；除…外；没有别的选择；拿定主意
"
make a decision, 做出决定；做决定；作出决定
make a film, 拍电影；制作电影；排电影
make a fire,"na. 生火
"
make a living, 谋生；度日；维持生计
make a mistake,"na. 犯错误
"
make a note of,"v. 记录
"
make notes of,"na. 记录；作(演说等的)草稿；作标记
"
make a phone call to,无
make a suggestion,"na. 提议
"
make contributions to, 对……做出贡献；对……作出贡献；为…做出贡献
make faces,"na. 做苦脸；做鬼脸
"
make friends with,"na. 跟…做朋友
"
make fun of,"na. 嘲弄
"
make it,"na. 赶到；办成功；规定时间；〔美俚〕性交
"
make money,"na. 赚钱；发财
"
make one's way to, 往……走去；转向；向……走去
make one's way towards,无
make one's way through,"vt.挤过,穿过"
make out,"na. 理解；发现；起草；证明
"
make progress,"na. 前进；进展
"
make sure,"na. 尽力做到；深信；务必；务请
"
make the bed, 铺床；整理床铺；整理被物
make up,"na. 弥补；起草；定；签订
"
make up one's mind,"na. 决心 (to do)
"
manage to do sth., 设法做某事；设法做成某事；设法做成了某事
marry sb.,"vt. 嫁；娶；与……结婚
vi. 结婚
"
match with ..., 和……相配；相匹配；与……相称
match ... with ..., 和……相配；相匹配；与……相称
mean to do sth., 打算做某事；想要做某事；本意是想要做某事
meet the needs of,"v. 适应
"
meet with,"na. 碰见；遭遇；偶然发现；达到
"
millions of,"det. 数百万
"
mistake ... for ...,"v. 把…错认
"
mix up,"na. 调匀；混淆；使结交坏朋友；【拳击】猛烈互击
"
mop the floor, 拖地；拖地板；擦地板
more and more,"na. 越来越…
"
more or less,"na. 有几分；约；或多或少；一点也…
"
more than,"na. …以上；比…更
"
most of,"adj. 大多数
"
move to,"na. 搬到
"
neck and neck,"na. 齐头并进
"
neither ... nor ..., 既不……也不；两者都不；均不
neither does sb.,无
never before,"un. 死也不肯；从来没有
"
never mind,"un. 没关系；不要紧；开诚布公地谈
"
next to,"prep. 紧邻；在…近旁；仅次于；紧接
"
no choice but ...,无
no longer,"na. 不再
"
no matter how,"na. 不管怎样
"
no wonder, 难怪；怪不得；不足为奇
not at all,"na. 毫无(=〔美国英语〕 You are welcome)
"
not ... at all,"na. 毫无(=〔美国英语〕 You are welcome)
"
not only ... but also ..., 不仅……而且；不但而且；两个不仅……而且
not ... in the slightest,一点不
not ... until ..., 直到……才；引导的句子要倒装；引起倒装
nothing but,"na. 不外；〔美国〕〔加强语气〕的确
"
notice sb. do sth.,无
now and then, 偶尔；时而；不时
now that ...,"na. 由于
"
of course,"na. 当然
"
of one's own,"na. 自己的
"
on a visit to, 参观某地；访问某人；拜访某人
on average, 平均；平均起来；通常
on board,"na. 在船上；〔美国〕在车上；〈口〉【棒】出垒
"
on business,"na. 因公
"
on display,"un. 公开展出
"
on duty,"na. 在工作时间内；上班；值班
"
on earth,"na. 到底；在地球上；全然
"
on fire,"na. 燃烧着；兴奋着
"
on foot,"na. 步行；在进行中；徒步
"
on holiday,"na. 在休假中
"
on one's side,无
on sale,"na. 出售的；上市的；出售(的)；廉价出售(的)
"
on Saturday, 在星期六；在周六；在星期天
on show,"na. 成为展览物；被陈列着
"
on the map,"na. 存在的；重要的；有名的
"
on the one hand ...,"na. 一方面
"
on the other hand ...,"na. 从另一方面来说；在另一方面
"
on the playground, 在操场上；运动场上；独自坐在操场上
on the top of,"na. 在…之上；逼近；胜任(工作等)；掌握(情况等)
"
on the way to,"un. 在途中
"
on one's way to,无
on watch, 值班；在值班；值班，守望
on weekdays, 在工作日；在平日；在周日
on vacation, 度假；在度假；在度假中
once a year,"na. 每年一次
"
once in a while,偶尔；有时（等于every once in a while）
