a bunch of,"det. 一束
"
at that very moment,无
at the ball,无
at the beginning of,"un. 前奏；处于…的开端；起初
"
at the bottom of,"un. (是)基本力量；是由于他们引起的；在…的底部
"
at the cost of,"na. 以…为牺牲
"
at the crossing,无
at the invitation of sb., 应……的邀请；应…邀请；应邀
at the latest,"na. “at latest”的变体
"
at the most,"na. 至多
"
at the price of,"na. 拼着…；以…的代价
"
at the risk of,"na. 冒着…的危险
"
at the same time,"na. 同时；另一方面；与此同时
"
at the sight of,"na. 一看见就
"
at the speed of, 以……的速度；以…速度；速度为
at the thought of,"na. 一想到
"
at the top of the voice,无
attempt to do, 试图；试图做某事；企图做某事
attend to,"na. 照料(工作)
"
attitude to sth.,"un. 对…态度
"
attitude towards sth.,"un. 对…态度
"
attract one's attention,无
back and forth,"na. 来回地
"
bark at,(狗)向(某人)吠叫；突然向(某人)大喊大叫，咆哮；厉声说话
be able to do, 能够做某事；能做某事；有能力做某事
be about to do, 即将做某事
be about to do ... when ...,无
be absent from,"na. 不在(家)；缺(工)
"
be absorbed in,"na. 全神贯注在…；热衷于
"
be active in, 积极于；对…很积极；积极参加
be admitted into universities,无
be afraid of,"na. 怕
"
be afraid that ...,"na. 怕
"
be afraid to do,"na. 怕
"
be after,"v. 追求；寻找
"
be along with,无
be an expert on sth.,无
be an expert in sth.,无
be an expert at sth.,无
be angry at sth.,"na. 因…而发怒
"
be angry with,"na. 对…生气；生(某人)的气
"
be anxious about,"na. 担忧(某人健康)；害怕(结果)
"
be anxious for sth.,"na. 切望
"
be anxious to do, 急于做某事；渴望做某事；急切去做
be ashamed of,"na. 以为…是耻辱
"
be at breakfast,无
be at lunch,无
be at supper,无
be at the same level,无
be aware of,"na. 知道
"
be away from, 远离；离开；从……离开
be based on,"v. 以…为基础
"
be better off,"na. 情况[处境]更好；更加富有；处境较好
"
be blind in one eye,无
be blind to,"na. 不明
"
be busy doing,"na. 忙着干(某事)
"
be busy with,"v. 忙于
"
be careful, 小心；当心；注意
be caught in,"na. 遇(雨)；落入(陷阱,圈套)
"
be concerned about,"na. 关心；挂念
"
be connected with,"na. 与…有关[联]系
"
be considered, 被认为是；被考虑；礼貌的
be considered to be,无
be content to do,无
be content with,"na. 以…为满足
"
be crowded with,"na. 被…挤满；满是…
"
be deaf to,"v. 拒绝听取
"
be determined to do, 决心做某事；下定决心做某事；下决心做某事
be disappointed in,"v. 对…失望
"
be disappointed with,"v. 对…失望
"
be doing ... when ...,无
be done away with,无
be dressed in, 穿着；穿着……衣服；正穿着
be due to,"na. 由于；应给；预定；应做的
"
be due to do,无
be dying for,"na. 对…想得要死
"
be dying to do, 渴望做某事；非常想做某事；急切去做
be eager for,"v. 迫切要
"
be eager to do, 渴望做某事；急于做某事；急欲
be encouraged to do sth.,无
be engaged in,"na. 正做着
"
be engaged to,"na. 同…订婚
"
be equal to,"na. 等于；胜任；赶得上；忍耐得住
"
be expert in doing,无
be expert at doing,无
be familiar to sb.,"v. 熟悉
"
be familiar with,"na. 精通；同…相好
"
be famous as,作为…而闻名遐迩
be famous for,"v. 因…出名
"
be famous to sb.,无
be favourable to,有助于，有利于；赞成……
be filled with, 充满；装满；充满着
be fit for,"na. 适于
"
be fond of,"v. 爱好
"
be forced to do,无
be friendly to sb.,"na. 赞成
"
be kind to sb.,"na. 对…厚道
"
be polite to sb.,无
be going to do, 将要，打算
be gone,离开，离走；[用于祈使句]走开，滚开
be good on sb.,无
be hard on sb.,"na. 接近
"
be harmful to, 对…有害；对…有危害；对……是有害的
be honoured for sth.,无
be in business, 经商；做买卖；做生意
be in danger, 处于危险之中；处于危险中；处于危险当中
be in darkness,无
be in disorder,无
be in earnest,无
be in good order,无
be in great need,无
be in hospital,"na. 住院
"
be in low spirits,"na. 无精打采
"
be in high spirits, 情绪很高，兴高采烈; 抖擞; 精神振奋; 斗志旺盛
be in majority,vi.占多数
be in the majority, 居多；占多数；占大多数
be in poor health,无
be in question,"vi.成为问题,正在讨论中"
be in one's charge,无
be under one's charge,无
be in the charge of sb.,无
be under the charge of sb.,无
be introduced into,无
be joined to,无
be keen on,"na. 喜爱
"
be kind of sb., 对……好；对……友善；对……表示友善
be kind to sb.,"na. 对…厚道
"
be known for,"un. 公认；闻名；以…著称
"
be known to sb., 为…所知；为……所熟知；周知于
be lacking in,"v. 缺乏
"
be likely to do,无
be longing for,无
be longing to do,无
be lost, 迷路；丢失；迷失
be lost in sight,无
be lost in thought,"na. 在呆呆地默想
"
be made from,"na. 由…制成的
"
be made into, 被制成；被做成；把……制成
be made of,"na. …制的
"
be made up of, 由…构成；组成；由…组成
be marked with, 标明；被标上…记号；标着
be married to sb.,"un. 给…证婚；嫁给…
"
be measured in,无
be missing, 迷路，丢失；不见了；失踪
be mixed with,无
be named after, 以……命名；以…来命名；以…的名字命名
be of the same kind,无
be of this kind,无
be off,"na. 去
"
be on a visit from someplace,无
be on a visit to someplace,无
be on business,无
be on diet,无
be on duty,"v. 当班
"
be on fire, 着火；着火了；失火
be on holiday, 在度假；在假期中；渡假
be on vacation,"na. 在度假
"
be on sale, 甩卖；正被出售；销行
be on show, 展出；展览；在展出
be on strike,在罢工
be on the march,"na. 进行中
"
be out of fashion,"na. (人或物)不合时尚
"
be out of order, 失灵；发生故障；秩序混乱
be out of question,"ph. 无疑
"
be out of reach,"vi.够不到,无法达到"
be out of the question, 是不可能的；不可能的事；毫无疑问
be out of work, 失业；砸饭碗；工作的人已经失业
be pleased to do sth.,无
be pleased at doing sth.,无
be pleased with,"na. 喜欢
"
be popular among ...,无
be popular with ...,"na. 受…欢迎
"
be prepared for,"na. 准备着
"
be present at,"v. 出席
"
be present at the meeting,无
be proud of,"na. 以…自豪
"
be ready for,"v. 预备好
"
be ready to do, 准备做某事；准备好做某事；为做某事做好了准备
be recognised as,无
be reduced by, 降低了；较少了；被减少了
be related to,"na. 和…有(亲戚)关系
"
be responsible for,"v. 负责；担负
"
be rich in,"v. 富于
"
be said to do,无
be satisfied with,"v. 满足于
"
be senior to,较…年长
be set in, 以……为背景；设置背景；故事发生在
be short of, 缺少；缺乏；短缺
be strict in sth., 对某事严格要求；对某事要求严格；严于
be strict with sb., 对……严格要求；对…要求严格；对某人要求严格
be successful in doing sth.,无
be suitable for,"v. 合适
"
be supplied to sb.,无
be supplied with ..., 某人被提供
be supposed to do,"na. …(在职务上)要；〈口〉不许
"
be sure to do,"na. 必定
"
be certain to do,无
be tired from sth., 因……而疲乏；因…而疲倦；因…而厌倦
be tired from doing,无
be thought of,无
be thought as,无
be tired of,"v. 厌烦；厌倦
"
be tired out,"na. 筋疲力尽
"
be to blame,"na. 该负责
"
be to do, 将要做；打算做；准备做
be to the taste,无
be trapped by,无
be trapped by the fire,无
be treated as, 把……当作……对待；当做……来看；被当作
be under construction, 施工；在建设中；正在建设中
be unwilling to do,无
be up to,"un. 面对；在干；居心
"
be used for,"v. 用于
"
be used to do,无
be used to doing,无
be used to sth.,"na. 惯于
"
be value for money,无
be good value for money,无
be willing to do,"na. 乐意进行
"
be worried about, 担心；为…而担心；为……担心
be worth doing,值得做……
be worth sth., 值得；值得的；价值相当
be worthy of, 值得；配得上；对得起
be known as,"na. 通称
"
become known as, 作为……而出名；叫作；成为人们熟知的
be widely accepted,无
become widely accepted,无
beat sb. black and blue,无
beat sb. on the head,无
beat sb. to death,无
beat sth. flat,锤薄
become a success,无
become separated,无
before long,"na. 不久；不(需很)久
"
begin with,"na. 从…开始
"
believe in,"v. 相信
"
belong to,"v. 属于；附属
"
benefit from,"v. 从…得到好处
"
beyond question,"na. 毫无疑问；一定
"
beyond reach, 够不到；够不着；可望而不可及
beyond that, 除了那个以外；除此之外；装饰性创造性表示之外
beyond the sea,"na. 由海路；经海路；乘船
"
black out,"na. 用墨涂掉；使停刊；封锁(新闻)；【戏】使舞台转暗
"
black tea,"na. 红茶
"
blood bank,"n. 血库
"
blow away,"na. 吹走；〈非正式〉用枪杀死某人；〈非正式〉震惊；主要用于美式英语
"
both ... not ...,无
both of ..., 两者都
break away from,"v. 脱离；离开；断绝与…的关系
"
break down,"v. 分解；抛锚；分析；划分
"
break in,"na. 闯入；插嘴；驯(马)；训练(人)
"
break into pieces,"na. 打碎
"
break off,"v. 断绝；摘；把…折断；使脱落
"
break one's promise,"un. 许配；违背…诺言
"
break one's words,无
break out,"na. 起；(战争等)突发；(囚犯等)逃脱；【航】起(锚)
"
break the record,"na. 打破记录
"
break the rules, 犯规
break up,"v. 拆散；打碎；剖割(兽体等)；破坏
"
bring about,"na. 造成；带来；【航】(使船)回转
"
bring down,"na. 降低；击落；削减；使落下[跌落]
"
bring in,"na. 生产；生(利)；收获(农作物等)；挣得(报酬等)
"
bring on,"na. “bring forward”的变体
"
bring ... to one's notice,无
bring up,"na. 抚养；教导；教育；在…长大
"
build up,"na. 同“build”；建立；复兴；【军】集结(部队)
"
burn down,"na. 把…烧成平地；(蜡烛等)逐渐烧完；火力减弱
"
burn ... to the ground,"na. 被烧成平地
"
burn up,"na. 烧完；旺起来；使恼怒；发怒
"
burst in,"na. 闯进；打扰；打断(别人谈话)
"
burst into flames,"na. 烧起来
"
burst into tears,"na. 突然哭起来
"
burst into laughter,"na. 放声大笑
"
burst out,"na. 冒出；现出；突然发作；突然发生
"
by chance,"na. 偶然
"
by degrees,"na. 渐次
"
by far,"na. (修饰比较级,最高级,表示数量,程度等)…得多；尤其；更
"
by means of,"na. 以
"
by oneself,"na. 单独；独自；独力
"
by the end of,"prep. 在…尽头
"
by the way,"na. 见 way 条
"
by this means, 通过这种方式；用这种方法；用这种方式
call at,"na. 访问(某家)；(车船)停靠(某地)
"
call for,"na. 呼吁；主张；需要；接(某人)
"
call in,"na. 招；叫进；引入；调入
"
call on sb.,"na. 号召；指名要(某人)去干(某事)；请求；访问
"
call on sb. to do sth.,无
call one's attention to,无
calm down,"na. 平静下来
"
can't help doing, 禁不住做某事；情不自禁做某事；忍不住做某事
can't resist doing,无
carry about,"un. 随身携带
"
carry on,"adj. (飞机乘客的行李)可随身携带的
n. (飞机乘客的)随身行李
"
carry out,"na. 实行；开展；完成
"
carry out one's promise,无
carry with, 随身携带
catch a cold,"n. 【医】感冒
"
catch fire,"na. 着火
"
catch one's attention,无
catch sight of,"na. 看出
"
change ... for ...,"v. 转车；转向
"
change into,"na. 变成；改穿
"
clear away,"na. 扫除；砍去；(雾等)消散
"
clear out,"na. 清空；腾空；清理；〈非正式〉匆忙离开
"
clear up,"na. 整顿；说明；(天气)转晴
"
come about,"na. 发生；(风等)变向；【航海】抢风调向
"
come across,"na. 尽(义务)；发现；碰见；(穿过…)来到
"
come along,"na. 进步；同意；一道来；请过来
"
come away,"na. 脱掉
"
come back,"na. 回来；想起来；〔口语〕复原；归
"
come down,"na. 败落；退步；(飞机的)下降
"
come into being,"na. 发生
"
come into effect,"na. 开始实施
"
come on,"na. (演员)出台；进行(很好)；(暴风雨等)起；(病,苦痛等)加深
"
come out,"na. 出来
"
come round,"na. 苏醒；(生气的人)消除怒气；(病后)复原；(从某处)转来
"
come to an end,"na. 完结
"
come to oneself,"na. 苏醒；醒悟；复原
"
come to one's notice,无
come to power, 上台；掌权；执政
come true,"na. (预言等)成事实；实现；(作物)不变种地发芽生长
"
come up,"na. 走近；上升；抬头；(暴风雨等)起
"
come up to,"na. 到达；不亚于；不负(期待)
"
come upon,"na. 碰到；忽然想到；突袭；要求
"
compare ... to ...,"un. 核对记录；商量了一番；比较；和…相仿
"
compare ... with ...,"na. 和…比较[对照]
"
"compared with ..., ...","na. 和…比起来
"
"compared to ..., ...","un. 比拟
"
congratulations on sth., 祝贺；祝贺某事；祝你
connect ... to ...,"un. 接于
"
connect ... with ...,"na. 和…有关系
"
consider sth.,"vi. 考虑；认为；细想
vt. 考虑；认为；考虑到；细想"
consider doing, 考虑做某事；考虑去做；考虑要做某事
consider ... to be,无
consider ... as, 认为；认为是；把…看作
consist of,"v. 由…合成
"
content oneself with,"对…感到满意,甘愿"
contribute ... to ...,"na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志)
"
convert ... into ...,"v. 转换成
"
could have done, 本可以做某事而没做；本来能够；本来能做成的
count on,"na. 指望；预料到；期望
"
count upon,"na. 指望；依赖
"
cover the events,无
cover ... with ...,"v. 覆盖着
"
cross out,"na. 取消
"
crowd out,"na. 推开
"
cry out,"na. 大叫；喊着要求
"
cut away,"na. 切开；乱砍；逃走
"
cut down,"na. 砍倒；削减；减价；夺去…活动力
"
cut ... in half,"na. 切成两半
"
cut off,"na. 削除；截止；截断(退路等)；割下来
"
cut one's hair short,无
cut out,"na. 割掉；除去；剪下；开辟
"
cut up,"na. 割裂；弄伤；歼灭(敌军)；使心痛
"
daily goods,无
dance to the music, 随着音乐跳舞；伴随着音乐跳舞；伴着音乐跳舞
dare to do, 敢于做某事；敢做某事；敢做敢当
date back to,"na. 回溯至
"
date from,"v. 回溯到
"
day after day,"na. 天天；一天又一天
"
day and night, 夜以继日地， 日夜; 不舍昼夜; 日日夜夜; 白天黑夜
day by day,"na. “day after day”的变体
"
deal with,"na. 办理；对待；与…交涉；与…交易
"
deep into the night, 深夜；直到深夜；一直做到深夜
delay doing,无
delay sth.,"n. 延期；耽搁；被耽搁或推迟的时间
vt. 延期；耽搁
vi. 延期；耽搁
"
demand to do,无
depend on,"v. 依靠
"
depend upon,"v. 依靠
"
determine sb. to do sth., 决定做某事；决心做某事；动作
develop a habit, 养成习惯；养成一种习惯；养成一个习惯
develop an interest in sth.,无
die away,vt. 减弱，消失；渐熄；风，声音渐弱，渐息；（树木等）渐渐凋零，枯萎（根未死）；假死
die from ...,"na. 因伤致死
"
die of ...,"na. 因…而死
"
die out,"na. 死绝
"
dig out,"na. 挖出；查出(事实)；〈美口〉慌慌忙忙走开[逃走]
"
direct sb. to do,无
direct that sb. should do,无
discourage sb. from doing sth.,无
dislike doing sth.,无
dive off, 从……跳水；从高处跳入水中；从顶楼跳楼
divide ... by ...,"un. 划分；用…去除；以…为分界
"
divide ... into,"v. 分为
"
do a good deed,"na. 行善
"
do away with,"na. 废除；干掉
"
do damage to,"na. 损害
"
do good to ...,"na. 对…做好事；对…有益[有效]
"
do harm to ...,"v. 损害
"
do research on ..., 对…进行研究；在…上做研究；做…方面的研究
do research in ...,无
do research about ...,无
do research into ...,无
do sb. a favour, 帮忙；帮个忙；帮助某人
do sb. good,"v. 有益
"
do sb. harm,"un. 闯荡；受伤；加害；不利
"
do so ... as to do,无
do such ... as to do,无
do up,"v. 修缮；收拾
"
do with,"na. 对付；忍耐；与…相处
"
draw a deep breath,无
draw one's attention,无
draw up,"na. 写出；正容；整(队)；拉起(鱼网等)
"
dream of doing sth., 梦想做某事；渴望做某事；梦想着做某事
drop in at ...,无
drop in on sb.,"v. 顺便访问
"
earn one's living, 谋生；营生；挣钱维持生计
eat one's words,"na. 食言；收回自己说过的话；为自己说过的话道歉
"
eat up,"na. 吃完；消耗；沉迷于；很快走完(距离)
"
encourage sb. to do sth., 鼓励…做；鼓励做某事
end ... with ...,"na. 以…完结[终止]
"
end up with,"na. 以…而告终
"
enter for,"na. 参加(赛跑)
"
escape from,"v. 逃脱
"
except for,"na. 只有
"
expect sb. to do, 期待做某事；期望做某事；期望干
explain sth. to sb., 向某人解释；向…解释；向谁解释
explain to sb. sth., 向某人解释；向…解释；向谁解释
face to face,"na. 面对面
"
face-to-face,"adj. 面对面的；当面的
adv. 面对面地"
fail to do, 未能做某事；做某事失败；没能做成某事
fall asleep,"na. 入睡
"
fall behind,"na. 落后；跟不上；落下；拖欠
"
fall in love with sb.,爱上
fall off,"na. 下降；(从马上)掉下来；扫兴颓丧；离开
"
fall to pieces,"na. “fall in pieces”的变体
"
far and near,"na. 四面八方；到处
"
far and wide,"na. 遍；到处
"
far more interesting,无
fast asleep,"adj. 熟睡
"
feed on sth.,"na. 同“feed off ”；“live on”的变体
"
feel alone, 感到孤单；感到寂寞；感到孤独
feel like doing, 想要做某事；觉得想做；想干某事
feel like sth.,"na. 〈口〉想要…；愿意…；感觉像是…
"
feel lonely, 感到孤独；感到寂寞；感到孤单
feel one's way,"na. 摸索着走；行动谨慎
"
feel terrible, 感觉不舒服；感觉难受；感到难受
fight against,"v. 反对
"
fight for sth.,"v. 争取
"
figure out,"na. 估计；解决；了解；〈口〉确定
"
find out,"na. 查出；发现；看清…的面目；识破
"
find sth. to do,无
find sth. hard to do,无
finish off,"na. 同“finish”；完成；用完；吃完
"
fire at,"na. 对…开枪
"
fire escape,"n. 太平梯（在建筑物外部，用以逃离火场）
"
fire out,"v. 解雇
"
fire up,"na. 发动(机器)；生火；突然发怒
"
first aid,"n. 急救
"
first of all,"na. 第一
"
fix a time for sth.,无
fix a date for sth.,无
fix a time to do sth.,无
fix a date to do sth.,无
fix ... to ...,"决定,安排,准备"
fix one's attention on sth.,"vt.留意,专心于"
fix one's eyes on,"na. 注视
"
float off,"na. (搁浅的船)浮起
"
fly over,"un. 飞过；立体交叉用跨线桥
"
fold up,"na. 折起；放弃；倒塌；〔俚语〕倒闭
"
follow one's advice on,无
follow the rules,无
fool about,"na. 闲游
"
fool around,"na. “fool about”的变体
"
fool sb. into doing sth.,无
for a while,"adv. 片刻
"
for example,"na. 例如
"
for fear that,"na. 生怕
"
for free, 免费地；免费的；为了免费
for God's sake,"na. 看在上帝面上
"
for instance,"na. 例如
"
for oneself,"na. 为自己；亲自；独自
"
for one's sake,"un. 行行好；看在…面上；为了…自己好；为…着想
"
for one thing,"na. 第一〔表示列举〕；原因之一是
"
for reasons,无
for political reasons,无
for sale,"na. 出售(的)
"
for the first time,"na. 第一次
"
for the sake of,"adv. 为了…起见
"
forbid sb. to do sth.,无
force oneself to one's feet,无
force sb. to do,"v. 强人所难
"
foreign affairs,"n. (美国)《外交》季刊
"
frankly speaking,"na. 老实说
"
from a great distance,无
from cover to cover,"na. 从头到尾
"
from door to door,"na. 挨门挨户；家家
"
from side to side,"na. 左右(摇等)
"
from that time on,"adv. 自此
"
from the beginning,"na. 自始
"
from time to time,"na. 时时
"
generally speaking,"na. 一般地说；一般地说来
"
get across,"na. 使了解；使通过；使人了解；与(人)冲突
"
get along with,"na. (工作)进行
"
get along well with, 与某人相处的很好；与……相处融洽；与…相处很好
get broken, 弄坏了；破碎了；被弄破
get burnt, 遭殃；被烧伤；烧着了
get caught in, 陷入；遇到；困住了
get changed, 换衣服；洗漱梳妆；换好衣服
get close to, 接近；靠近；与接近
get down to doing sth.,无
get good from ...,无
get hold of,"v. 抓住；捉住
"
get hurt,"na. 受伤
"
get in,"na. 进入；收(庄稼)；收集(税收,捐款等)；插入
"
get in touch with,"na. 和…联系
"
get into,"na. 进入；穿上；成癖；陷于
"
get into the habit of,"na. 养成某种习惯
"
get it settled,无
get married,"na. 结婚
"
get off,"na. 下车；脱下(衣服等)；脱(衣)；下(马)
"
get on the right track,无
get on with,"na. 同“get along ”
"
get on well with, 与……相处融洽；和……相处得好；与……相处得好
get over,"na. 同“get across”
"
get paid,"un. 领工资
"
get ready for,"v. 作准备
"
get rid of,"na. 除掉；摆脱；撵走
"
get separated,无
get through,"na. 花光；了结；(使)通过(议案)；及格
"
get tired of, 对……感到厌倦；厌烦；对……厌烦
get to know sb.,"v. 逐渐了解
"
get together,"na. 聚集；集合；汇齐；积累
"
get up to one's feet,无
get used to doing,无
get used to sth.,"na. 变得习惯于
"
get worse,"v. 变坏
"
give a hand,"un. 制住；帮着干一点
"
give a promise, 许下诺言；提出诺言；给予保证
give away,"na. 赠送；分发；放弃；露马脚
"
give back,"na. 归还；返回；往后站；凹陷
"
give birth to, 生（孩子），生育; 引起，产生; 娩出; 娩
give in,"na. 让步；屈服；投降；上交
"
give off,"na. 发散(水蒸气等)
"
give one's regards to sb.,无
give out,"na. 发表；放出；分发
"
give over,"v. 停止；托
"
give sb. a lift, 让…搭车；搭便车
give sb. a message,无
give sb. advice on ...,无
give up,"na. 放弃；断绝；投降；自首
"
give way to,"v. 让步；退却
"
go aboard,"v. 上车
"
go abroad,"na. 出国；到外国
"
go after,"na. 追求
"
go against,"na. 违背；不利于
"
go ahead,"na. 取得进展
"
go all the way back to the time of,无
go bad,"na. (食品,蛋等)坏掉
"
go by,"na. 走过；以…为根据(作判断)；〈美〉顺道访问；受…所控制
"
go down,"na. 下去；(飞机)坠落；继续到  (风,浪等)平静下来；消退
"
go in for,"na. 赞成；寻求；参加
"
go mad about,无
go missing, 失踪；丢失；不见了
go off,"na. 进行得 (well； badly)；(话等)冒出
"
go off duty,离开岗位； 下班
go on a trip on ...,无
go on board,"v. 上船；上火车
"
go out,"na. 出去；灭；辞职；下台
"
go over,"na. 仔细查看；仔细搜查；排练；重温
"
go through,"na. 认真检查；仔细地搜；(提案或法案)通过；被批准
"
go up,"na. 上升；上城市去；腾贵；烧起来
"
go with,"na. 同…一致；跟…谈恋爱；带有；领会
"
good manner,无
good manners,"na. 有礼貌
"
good-for-nothing,"n. 废物，无用的人
adj. 无用的，无益的"
graduate from,"v. 毕业于
"
grow rich,无
guess sb. to be,无
hand down,"na. 宣布(判决等)；传下来
"
hand in,"na. 交进
"
hand out,"na. 分；拿出来；施舍
"
hand over,"v. 转交；递给；送交(警察或有关当局)处理；移交(权力等)
"
hang up,"v. 挂断电话；挂机；悬挂；耽搁
"
happen to do sth., 碰巧做某事；碰巧干某事；碰巧发生某事
... has a population of ...,无
have a cold,"na. 伤风
"
have a great effect on,无
have a high opinion of,"na. (对某人或某事)有很高的评价
"
have a problem with sth., 在……有问题；在方面有问题或困难；在…方面有问题
have a rest,"v. 休息一下
"
have a seat,"na. 留在原位不动
"
have a short memory, 健忘；记忆力差；容易忘事
have a talk with sb.,"v. 和…谈话
"
have a trip on ...,无
have a word with sb.,"na. 和…说一句话
"
have an effect on sb.,(对…)有影响〔产生效果〕
have difficulty doing sth.,无
have difficulty in doing sth.,无
have trouble doing sth., 做某事有困难；做……有困难；做某事有麻烦
have trouble in doing sth.,无
have on,"v. 戏弄
"
have sth. for breakfast,无
have sth. for lunch,无
have sth. for supper,无
have the habit of doing sth.,无
have trouble with sth.,"v. 同某人发生纠纷
"
have words with sb.,"na. 和…争论
"
head back,"v. 绕至前方
"
hear from,"na. 得到…的消息
"
help sb. out,"v. 帮助…摆脱困境；救出；协助
"
hit sb. on the ...,无
hold a position, 持仓；担任职务；处于
hold back,"na. 阻止；踌躇；隐瞒；抑制
"
hold down,"na. 压制；牵制；阻止；压低(物价等)
"
hold on,"na. 拉住；继续；坚持下去；(打电话时)不挂断
"
hold one's breath,"na. 屏息
"
hold one's head high,"na. 趾高气扬
"
hold out,"na. 伸出；提出；维持；制止
"
hold the record, 保持纪录；保持记录；保持纪录是
hold to,"na. “Hold fast”的变体
"
hold up,"v. 举起；支撑；耽误；抢劫
n. 抢劫；延误；堵车
"
honestly speaking, 老实说；说句实话；诚实地说来
how to do, 如何做；怎么做；怎样做
humour sense,无
hundreds of thousands of,"na. 几十万
"
hunt for,"na. 追猎；搜寻
"
hurry off,"na. 匆匆离去；使赶快去
"
I wonder whether ..., 我想知道是否；是谁的歌；我很奇怪是否
I wonder how ..., 我想知道怎样；我不知道我怎么了；我不知道怎么办
imagine doing sth., 想象做某事；想像做某事；设想做某事
imagine sb. doing sth., 想象做某事；想像做某事；设想做某事
in a high voice,无
in a low voice, 低声地；低声的；低声说
in a while, 一会儿；一段时间；一会儿之后
in a word,"na. “in a few words”的变体
"
in addition,"na. 加之
"
in advance,"na. 预先；在先头
"
in all,"na. 总计
"
in case,"na. 以防万一；作为准备；如果；免得〔用作连词〕
"
in charge of,"na. 受托…的
"
in common,"un. 和…有相通之处；公有
"
in despair,"na. 绝望地
"
in fact,"na. 事实上；总之
"
in favour of,"na. 赞成；有利于；付与
"
in front of,"na. 在…的前面
"
in future, 今后；将来；从今以后
in general,"na. 一般；大体上
"
