abandon oneself to,"na. 恣意
"
dance to, 随着…跳舞；按音乐节拍跳舞；和着……的节奏跳舞
dare to,"v. 胆敢
"
date from,"v. 回溯到
"
day after day,"na. 天天；一天又一天
"
deal with,"na. 办理；对待；与…交涉；与…交易
"
debate on,"na. 讨论(问题)
"
debate about,"un. 充分地谈论
"
decide on,"na. 决心
"
decide upon,"na. 决定(采取某种行动)
"
declare against,v. 表态反对
dedicate ... to ...,"v. 献给
"
defend ... against ...,"na. 保卫；否认
"
defend ... from ...,"na. 抵抗；否认
"
depend on,"v. 依靠
"
depend upon,"v. 依靠
"
deposit ... in ...,"v. 存放在
"
descend from,"na. 是…的后裔
"
describe ... as ...,"v. 描述为
"
develop into,"v. 发展成为
"
devote ... to ...,"v. 把…贡献给
"
die away,vt. 减弱，消失；渐熄；风，声音渐弱，渐息；（树木等）渐渐凋零，枯萎（根未死）；假死
differ from,"na. 和…不一致；和…意见不同
"
dig into,"na. 掘进；钻研；用掉；吃
"
distinguish between ... and ...,无
dive into,"na. 探察(某人秘密)
"
divide ... into ...,"v. 分为
"
do away with,"na. 废除；干掉
"
do harm to,"v. 损害
"
do without,"na. 无需
"
donate ... to ..., 捐赠；捐助；赠予
dozens of,"adj. 许多
"
draw a conclusion,"na. 引出结论
"
draw in,"na. 拉入；引入；收(网等)；收回(借款等)
"
dream about,"un. 浮想联翩；巴望
"
dream of,"v. 梦想
"
dress up,"na. 乔装；装扮；为…打扮；盛装打扮
"
drop away,"na. 一滴一滴落下；(一个个)走掉；(不知不觉间)跑掉；同“drop”
"
drop out,"na. 退出；(因不满传统制度而)退出正常社会；落出；隐退
"
drop out of,"v. 退出；退去
"
dry out, （使）变干， （使）干涸; <非正>（使）戒（酒、毒等）; 晾干
due to,"un. 由于；预定；因为；亏
"
each other,"pron. 彼此
"
earn a living, 谋生；谋生或维持生活；赚钱谋生
earn one's living, 谋生；营生；挣钱维持生计
ease off,"v. (痛苦)渐减；【航】(索等)松弛；【航】放松；放开(小船)
"
eat one's words,"na. 食言；收回自己说过的话；为自己说过的话道歉
"
eat up,"na. 吃完；消耗；沉迷于；很快走完(距离)
"
either ... or ...,"n. (自动控制)“异”；按位加；二者择一
adj. 二者择一的
"
end up with,"na. 以…而告终
"
enjoy oneself,"na. 过得快乐
"
enter for,"na. 参加(赛跑)
"
even as,"na. 正如；正在…时
"
even if,"na. 即使…也
"
even though,"na. “even if”的变体
"
ever since,"na. 从…以来
"
every now and then,"na. 间或
"
every now and again,"na. 时时
"
every other,"na. 每隔；所有其他；每隔一；其他的…都
"
except for,"na. 只有
"
exist in,"na. 存在于…中
"
expose ... to ...,"un. 暴露于
"
face to face,"na. 面对面
"
fade away,"n. 逐渐消失
"
fall in love with,"na. 爱上
"
fall over,"na. 倒了；落在地上；(计算机)程序停止运行；跌倒
"
fall behind,"na. 落后；跟不上；落下；拖欠
"
far from,"na. 远离；决不
"
far too, 太；极为；极其
feed on,"na. 同“feed off ”；“live on”的变体
"
feel like,"na. 〈口〉想要…；愿意…；感觉像是…
"
feel one's way,"na. 摸索着走；行动谨慎
"
figure out,"na. 估计；解决；了解；〈口〉确定
"
fill in,"na. 填充；填写；同“fill”
"
find out,"na. 查出；发现；看清…的面目；识破
"
first of all,"na. 第一
"
fix on, 把…固定住; 把…集中在…上; 确定; 选定
fix upon,"na. 决定
"
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
focus upon, 专注于；集中于
for free, 免费地；免费的；为了免费
for sale,"na. 出售(的)
"
for sure,"adv. 确实
"
for the time being,"na. 暂时；一时；临时；在目前
"
free from,"na. 无…的
"
from time to time,"na. 时时
"
get across,"na. 使了解；使通过；使人了解；与(人)冲突
"
get along,"na. 过日子；生活；团结；进步
"
get on,"na. 上马；安上；过日子；相投 (with together)
"
get along with,"na. (工作)进行
"
get on with,"na. 同“get along ”
"
get away from,"v. 逃脱
"
get away with,"na. 拿走；避开责备[惩罚]；〈俚〉卷(款)潜逃
"
get down to,"v. 认真对待
"
get in touch, 取得联系；联系我们；和某某人联系
get in touch with,"na. 和…联系
"
get into,"na. 进入；穿上；成癖；陷于
"
get involved in,"un. 〔兽医〕患病；参加
"
get off,"na. 下车；脱下(衣服等)；脱(衣)；下(马)
"
get on,"na. 上马；安上；过日子；相投 (with together)
"
get rid of,"na. 除掉；摆脱；撵走
"
get stuck,"v. 上当
"
get through,"na. 花光；了结；(使)通过(议案)；及格
"
get tired of, 对……感到厌倦；厌烦；对……厌烦
give away,"na. 赠送；分发；放弃；露马脚
"
give in,"na. 让步；屈服；投降；上交
"
give off,"na. 发散(水蒸气等)
"
give out,"na. 发表；放出；分发
"
give sb. a lift, 让…搭车；搭便车
glare at,"v. 怒目而视
"
go against,"na. 违背；不利于
"
go ahead,"na. 取得进展
"
go in for,"na. 赞成；寻求；参加
"
go on a diet, 节食；实行节食；减肥
go through,"na. 认真检查；仔细地搜；(提案或法案)通过；被批准
"
had better,"na. 最好；最好…
"
hand back,"v. 归还
"
hang about,"na. 荡来荡去；缠住不放；在附近逗留
"
hardly ... when ...,几乎未来得及就…；刚一…就…
have a class, 上课；学生上课
have classes, 上课；下棋；到了上课的时间了
have a cold,"na. 伤风
"
have a gift for, 有某方面的天赋；对……有天赋；有……的天赋
have a go,"un. 走到…身边；试一试；好好干一场
"
have a good time,"na. 过得愉快；很愉快
"
have a great time,"na. 过得很愉快
"
have a hand in,"na. 干与
"
have a population of,无
have a say in,"v. 对…有发言权
"
have a taste of,"na. 尝一口…看看
"
have a temperature,"na. (体温)比正常高
"
have a word with,"na. 和…说一句话
"
have an appetite for,"na. 爱好(音乐)
"
have an effect on,"na. 对…有影响
"
have an eye for,"v. 对…有鉴赏力
"
have an impact on, 对…有影响；对…起作用，产生效果；对于…有影响
have a desire to do,无
have difficulty in, 在……方面有困难；在某方面有困难；在……有困难
have faith in,"na. 相信
"
have fun in,"玩得开心
有乐趣"
have fun with, 玩得高兴；从…中得到乐趣；做某事有乐趣
have to,"modalv. 不得不；必须；劝告或建议时用；表示一定真实或肯定发生
v. 不得不；必须；一定；应当
"
have got to,"v. 必须
"
have ... in common,"un. 没有共同之处；有某些共同之处
"
have influence on, 对某物施加影响；对……产生影响；有影响
have an influence on, 影响；对…有影响；影响例句
have something to do with,"v. 关系到
"
have sth. on one's mind,惦记；挂在心上；为…担心，忧虑(某事)
have sth. in stock,无
have sth. to do, 不得不做某事；必须做某事；应该做什么事
have trouble doing sth., 做某事有困难；做……有困难；做某事有麻烦
have trouble in doing sth.,无
have words with,"na. 和…争论
"
hear about,"v. 得知；听到关于
"
hear of,"na. 听说；获悉；收到…的消息；知道
"
heart and soul,"na. 全心全意地
"
help oneself,"un. 放荡不羁；实在山穷水尽；自救
"
help oneself to,"na. 自由取食；任意占用[取用]
"
help ... out,"v. 帮助…摆脱困境；救出；协助
"
help sb. with,"v. 帮助
"
here you are,"un. 给你
"
hit on,"na. 忽然想到；偶然发现；无意中发现；〈非正式〉搭讪
"
hit upon,"v. 碰巧发现；忽然想出
"
hold back,"na. 阻止；踌躇；隐瞒；抑制
"
how about, 怎么样；如何；怎麽样
how far,"na. (离…)多远；到什么程度[范围]
"
how long,"conj. 多长时间
"
hundreds of,"na. 好几百
"
hunt for,"na. 追猎；搜寻
"
hurry into,(使)匆忙进入…; (使)赶快〔匆忙〕开始从事〔做〕…
hurry up,"na. 催促；赶快
"
if only,"na. 只要；只要…就好了
"
if possible,"na. 可能的话
"
impress on,"v. 给…深刻印象；盖印于
"
impress with,"v. 深深打动
"
improve on,"na. 改良
"
improve upon,作出比…更好的东西;对…作出改进
in a dilemma, 处于进退两难的境地；左右为难；进退维谷
in a flash,"na. 刹那间；瞬间；一下子
"
in a hurry,"na. 匆忙；〈口〉容易地；急于要；〔口语〕愿意地
"
in a rush,"un. 排在一起的；忙；急于…；着急
"
in a moment,"na. 立刻；立即
"
in a nutshell,"na. 极简单地
"
in a row,"na. 成一排；连续
"
in a way,"na. 在某一点上
"
in a whisper,"na. 悄声
"
in whispers,无
in a word,"na. “in a few words”的变体
"
in accordance with,"na. 照；与…一致
"
in addition,"na. 加之
"
in advance,"na. 预先；在先头
"
in agreement with,"na. 符合…照…
"
in aid of,"na. 以助…
"
in all,"na. 总计
"
in amazement,"na. 骇然
"
in answer to,"na. 作为对…的回答
"
in any case,"na. 无论如何；横竖
"
in appreciation of,"na. 因赏识…而
"
in battle, 在战斗中；在战争中；争斗
in brief,"na. 简单地说
"
in case,"na. 以防万一；作为准备；如果；免得〔用作连词〕
"
in case of,"na. 要是
"
in cash,"un. 占…便宜；用现钱支付的
"
in celebration of,"na. 为庆祝…
"
in charge,"na. 主任[主管]
"
in charge of,"na. 受托…的
"
in common,"un. 和…有相通之处；公有
"
in company,"na. 在大伙中
"
in comparison with,"na. 和…比起来
"
in comparison to,"un. 与…相比
"
in conclusion,"na. 最后
"
in ... condition,"un. 病势很重；高兴；健康状况好
"
in confidence,"na. 秘密地
"
in contrast to,"un. 相形之下；与…相比；与…相反；与…对比
"
in control,"na. 由…控制(住)
"
in control of,"na. 由…控制(住)
"
in danger,"na. 在危险中
"
in debt,"un. 背上了债；负债；欠款
"
in demand,"un. 要求；抢手
"
in detail,"na. 详细
"
in disguise,"na. 假装的；伪装的
"
in effect,"na. 实际上；总之；有效
"
in English, 用英语；用英语说；用英语表达
in error,"na. 弄错了的；错误地
"
in exchange, 作为交换；作为对…的交换；为了换取
in existence,"na. 现存的；存在的
"
in the face of,"na. 不避；不管；〈英〉在…前面；面临
"
in fact,"na. 事实上；总之
"
in favor of,"na. 赞成；有利于；付与
"
in force,"na. 大举；有效
"
in front,"na. 在前方；在人注意的地方
"
in front of,"na. 在…的前面
"
in future, 今后；将来；从今以后
in general,"na. 一般；大体上
"
in hand,"na. 现有；(工作)正在进行；控制住
"
in harmony,"un. 〔音〕和弦；和声；协调一致地
"
in harmony with,"un. 协调一致地；跟…调和；和衷共济；与…相合
"
in honor of,"na. 向…表示敬意
"
in hospital, 住院；在医院；生病住院
in line,"un. 把话说死；排队；循规蹈矩；一列的
"
in memory of,"na. 纪念…
"
in nature,"na. 现在存在；事实上；究竟
"
in need, 在危难中；需要帮助的；在困难时
in need of,"adj. 需要
"
in no case,"na. 决不
"
in no hurry,"na. 不急于…；不愿意；不容易
"
in no time,"na. 立刻
"
in one's opinion,"na. 据某人意见
"
in one's view, 依某人看来
in one's sight, 照某人的眼光看来；在视线内
in one's turn,"na. 接替
"
in order,"na. 整整齐齐；合规则；情况正常；健康
"
in order that,"na. 以便
"
in order to do sth., 为了做某事；为了干某事；为了……而做
in other words,"na. 换句话说
"
in pairs,"na. “in a pair”的变体
"
in part,"na. 一部份地；有几成；在某种程度上
"
in particular,"na. 特别；一一
"
in peace,"na. 平平安安；安心
"
in person,"na. 亲自；身体上；外貌上
"
in place,"na. 得其所；适当的
"
in place of,"na. 代替
"
in possession of,"prep. 占有
"
in practice,"na. 事实上；在实践中；在不断练习中；练习充足
"
in praise of,"na. 称赞[赞美,歌颂]…
"
in preference to,"prep. 在…之前
"
in private,"na. 秘密地
"
in public,"na. 公然
"
in rags,"na. 成碎片；穿着破衣服
"
in reality,"na. 事实上；实在
"
in recognition of,"na. 承认…而
"
in relief,"na. 浮雕一般；鲜明地
"
in response to,"na. 应…而
"
in return,"na. 作报复[报酬,回答,报答]；作替换
"
in ruins, 成为废墟；一片废墟；成废墟
in search of,"na. 寻找；去找；追求；为了寻求
"
in season,"na. (水果等)正旺；当令；应时；时机正好的
"
in shape,"un. 完全不；情况；模样
"
in short,"na. 简单地说；总之
"
in sight,"na. 看得见；“in/within sight”的变体
"
in silence,"na. 沉默着
"
in some case, 在某种情况下；在某些方面
in spite of,"na. spite of 不管；〔古语〕无视
"
in store,"na. 准备着
"
in sum,"na. 总之
"
in support of,"na. 支持；支援；拥护
"
in surprise,"adv. 惊奇地
"
in terms of,"na. 依…；从…方面；用…特有的字眼
"
in that case,"na. 既然是那样
"
in the abstract,"na. 抽象地
"
in the area of, 在…领域；科学领域
in the balance,"na. 犹豫未决
"
in the beginning,"na. 当初
"
in the charge of,"na. 在…看护下的
"
in the company of,"un. 跟…在一起；在…面前；在…的簇拥下
"
in the course of,"na. 在…之中
"
in the distance,"na. 在远处；在很远的那边
"
in the end,"na. 终于
"
in the flesh,"na. 亲身；以肉体形式；活着的
"
in the form of,"na. 用…的形式
"
in the front of, 在……的前部；在……的前面；在里面的前面
in the future,"adv. 今后
"
in the history of,无
in the hope of,"na. “in hopes of”的变体
"
in the least,"adv. 全然
"
in the long run,"na. 归根到底；“in the long run/term”的变体
"
in the meantime,"na. 在这期间
"
in the middle of,"na. 正在…当中；在…的中途；在…的中央；在…的中部
"
in the mood for,"na. 想…
"
in the open air,"na. 在户外[野外]
"
in the way,"na. 在路上；妨碍
"
in one's way,"na. 本来；有特色的
"
in the world,"na. 在世界上；究竟
"
in theory, 理论上；从理论上看；在理论上
in this way,"na. 用这个办法
"
in time,"na. 经过一段时间以后；早晚；在恰好的时候；和…合拍
"
in total,"adv. 全部；完全
"
in trouble,"na. 为难；被捕；未婚怀孕
"
in turn,"na. 挨次
"
in use,"na. 正在用；通行；“in/out of use”的变体
"
in vain,"na. 无益地；轻慢地
"
in view of,"na. 鉴于；为要；在…能看见的地方；估计[预料]到才
"
in want of,"na. 需要…(的)
"
increase to, 增加到；增长到；增加到多少
infer from,"v. 推断
"
inferior to,"adj. 次于
"
insist on,"v. 坚持；强调
"
insist upon,"v. 坚持；强调
"
instead of,"prep. 代替；作为…的替换
"
join hands,"na. 联合；同…合伙开店；同…结婚
"
join in,"na. 参加；参与
"
join the army,"na. 参军；入伍
"
join up,"na. 入伍；联合起来；同“join”
"
jot down,"v. 草草记下
"
judge ... from ...,"v. 以…来判断
"
judge ... by ...,"v. 以…来判断
"
judging by, 从…判断；根据来判断；从…来判断
judging from, 从…判断；根据……来判断；根据……判断
jump the queue,"na. 不按次序排队；企图获得优惠待遇
"
just a minute,"na. “wait/just a minute”的变体
"
just a moment,"na. “just/wait a moment”的变体
"
just about,"na. 正是…附近
"
just now,"na. 刚才；正在
"
just so,"na. 正要那样
"
just then,"na. 正在那时
"
keep a record of,"un. 公开(提倡)；把…记下来
"
keep an eye on,"v. 密切注意
"
keep an eye out, 警惕；注意；密切注意
keep an eye out for,"na. 记住
"
keep at,"na. 纠缠；坚持地做
"
keep away,"na. 不挨近
"
keep away from,"v. 远离
"
keep back,"na. 隐瞒；阻止；阻止向前；忍住
"
keep fit,"na. 保持健康
"
keep from ...,"na. 避开；禁止；抑制；隐瞒
"
keep ... from ...,"na. 避开；禁止；抑制；隐瞒
"
keep ... in mind,"na. 记在心里；记住；注意
"
keep in touch, 保持联系；保持联络；再联系
keep in touch with,"v. 与…保持接触
"
keep it up,"na. 加紧做；坚持做下去
"
keep off,"na. 不让接近；不接近
"
keep on doing, 继续做某事；坚持做某事；继续作某事
keep one's balance,"na. 保持身体平衡；镇定
"
keep one's eyes on,"注视,监视"
keep one's head,"na. 不慌不忙
"
keep one's promise,"na. 遵守诺言；守约
"
keep a promise,"na. 遵守诺言；守约
"
keep one's word,"na. 守约；履行诺言；说话算话
"
keep out of,"v. 置身事外；把…挡在…外
"
keep pace with,"na. 赶上；保持同步；随着…而增长
"
keep to,"v. 坚持；固守
"
keep up,"na. 支持；保持；继续；停歇
"
keep up with,"na. 不落后
"
kick off,"na. (足球)中线开球；开始(某种活动)；死；踢脱(鞋等)
"
kill off,"na. 消灭
"
kill time,"v. 消磨时间
"
kind of,"na. 有点儿；有几分
"
knock about,"n. 武打戏的表演[演员]；结实的东西；狠斗；流浪汉
adj. 吵闹的；〈口〉流浪的；(衣服)结实的
"
knock around,"na. “knock about”的变体
"
know about,"v. 知道
"
know of,"v. 知道有
"
know ... by heart, 记在心中；能背上来
know ... from ...,"v. 辨识；区别
"
lack of,"v. 缺乏
"
land on one's feet,"na. 逢凶化吉
"
last but not least,"na. 最后但不是最不重要的一点
"
later on,"na. 过后；后来
"
laugh at,"na. 嘲笑；付之一笑；因…而发笑
"
laugh one's head off,"na. 狂笑不已
"
lay aside,"na. 保存；放在一边；丢弃；留着
"
lay down,"v. 躺下；不反抗；屈服；顺从
"
lay off,"na. 辞退；停止；暂停
"
lay out,"n. 布局；设计；规划；安排
"
lay up,"na. 切入篮；“lay in”的变体
"
lead a ... life,"过活,过日子"
lead the way,"na. 领路
"
lead to,"na. 通向
"
lead up to,"na. 渐渐诱入；【牌戏】设法引出
"
learn about,"v. 得知关于；学习关于
"
learn of,"v. 得知；获悉
"
learn ... by heart,"na. 记住；熟记
"
learn from,"v. 学习
"
least of all,"na. 尤其是
"
leave a message,"na. 留话
"
leave ... alone,"na. 丢下不管；不要管
"
leave aside,"v. 不考虑
"
leave behind,"na. 遗留；留下；追过；留在后头
"
leave for,"un. 到…地方去；去某地:
"
leave off,"na. 戒除；不再穿；休假许可
"
leave out,"na. 遗漏；忽略；〈口〉(告诉某人)停下来
"
leave school,"na. 退学；离校；(毕业)离校；放学回家
"
lend sth. to sb.,"un. 贡献:
"
less than,"adj. 少于
"
let alone,"na. 任随；更不用说；放任；莫说…(连)
"
let down,"na. 使失望；放下；丢面子
"
let go,"v. 放手；解雇；松手；忽视
"
