porter,"n. 门房；服务员；行李搬运工；守门人
"
envelop,"n. 信封；包裹
vt. 包围；包封；遮盖"
priceless,"n. 非卖品
adj. 无价的；极贵重的；非常有趣的"
worthless,adj. 无价值的；不值钱的；卑微的
grateful,adj. 感谢的；令人愉快的，宜人的
be grateful for sth.,"v. 感激
"
darkness,n. 黑暗；模糊；无知；阴郁
coast,"n. 海岸；滑坡
vt. 沿…岸航行
vi. 滑行；沿岸航行
"
storm,"n. 暴风雨；大动荡
vt. 猛攻；怒骂
vi. 起风暴；横冲直撞；狂怒咆哮
"
shore,"n. 海滨；支柱
vt. 支撑，使稳住；用支柱撑住
"
cliff,"n. 悬崖；绝壁
"
struggle,"n. 努力，奋斗；竞争
vt. 使劲移动；尽力使得
vi. 奋斗，努力；挣扎"
shepherd,"n. 牧羊人；牧师；指导者
vt. 牧羊；带领；指导；看管
"
parachutist,n. 伞兵；跳伞人
march,n. 三月
narrow,"adj. 狭窄的，有限的；勉强的；精密的；度量小的
n. 海峡；狭窄部分，隘路
vt. 使变狭窄
vi. 变窄"
steep,"n. 峭壁；浸渍
adj. 陡峭的；不合理的；夸大的；急剧升降的
vt. 泡；浸；使…充满
vi. 泡；沉浸"
sharp,"n. 尖头；骗子；内行
adj. 急剧的；锋利的；强烈的；敏捷的；刺耳的
vt. 磨快；把音调升高
adv. 急剧地；锐利地；突然地
vi. 打扮；升音演奏
"
memorise,vt. （英）记忆；存储（等于memorize）
recollect,v. 回忆，想起
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
disadvantage,n. 缺点；不利条件；损失
extraordinary,adj. 非凡的；特别的；离奇的；临时的；特派的
solve,"vt. 解决；解答；溶解
vi. 作解答"
publish,"vi. 出版；发行；刊印
vt. 出版；发表；公布"
agreement,n. 协议；同意，一致
question,"n. 问题，疑问；询问；疑问句
vt. 询问；怀疑；审问
vi. 询问；怀疑；审问"
question sb. about sth., 盘问；终极一家
document,"n. 文件，公文；[计] 文档；证件
vt. 用文件证明"
wallet,"n. 钱包，皮夹
"
call on sb.,"na. 号召；指名要(某人)去干(某事)；请求；访问
"
pay sb. sth.,"n. 工资，薪水；付款；报答
vt. 支付，付；偿还，补偿；给予
vi. 付款；偿还
adj. 收费的；需付费的"
pay sth. to sb., 付给；支付予；收款人
pay sb. a visit,"na. 访问
"
pay a visit to sb.,"v. 访问；参观
"
call sth. off,"na. 〈口〉命令停止；丢手；取消(婚约)；〈美〉点(名)
"
cancel,"vi. 取消，撤销
vt. 取消；删去
vi. 取消；相互抵消
n. 取消，撤销
"
topical,adj. 局部的；论题的；时事问题的；局部地区的
native,"adj. 本国的；土著的；天然的；与生俱来的；天赋的
n. 本地人；土产；当地居民"
neighbourly,adj. 像邻居的；亲切的；睦邻的
clap,"n. 鼓掌；拍手声
vt. 拍手，鼓掌；轻轻拍打某人
vi. 鼓掌，拍手；啪地关上
"
while,"conj. 虽然；然而；当……的时候
n. 一会儿；一段时间
vt. 消磨；轻松地度过"
far,"n. 远方
adj. 远的；久远的
adv. 很；遥远地；久远地；到很远的距离；到很深的程度
"
rush out of sth., 冲出；奔出；冲出…地方
act,"n. 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势
vt. 扮演；装作，举动像
vi. 行动；扮演，充当；表现，举止；假装，演戏；起作用，见效"
straight,"n. 直；直线；直男，直女，异性恋者
adj. 直的；连续的；笔直的；正直的；整齐的；异性恋的
adv. 直接地；不断地；立即；坦率地
"
fright,"n. 惊吓；惊骇
vt. 使惊恐"
get away,"na. 逃脱；出发；把…送出
"
battered,"v. 连续猛击；磨损（batter的过去分词）
adj. 破旧的；磨损的；弄垮的；受到虐待的"
move away, 离开; 搬到别处去住; 改变（见解）; 挪开
afterwards,adv. 后来；然后
lethal,"adj. 致命的，致死的
n. 致死因子"
weapon,n. 武器，兵器
forgive,"vt. 原谅；免除（债务、义务等）
vi. 表示原谅"
top sth. up,"n. 补充的饮料；收入补贴
v. 装满；充值
adj. 附加的
"
bus-pass,"n. 公车月票（凭此票可在特定时间内在某一地区乘坐任何公共汽车）
"
timid,adj. 胆小的；羞怯的
dirty,"adj. 下流的，卑鄙的；肮脏的；恶劣的；暗淡的
vt. 弄脏
vi. 变脏"
handkerchief,n. 手帕；头巾，围巾
impatient,adj. 焦躁的；不耐心的
directly,"conj. 一…就
adv. 直接地；立即；马上；正好地；坦率地"
the Channel,"na. 英吉利海峡
"
swimmer,n. 游泳者
anxiously,adv. 不安地，忧虑地
intend,"vi. 有打算
vt. 打算；想要；意指"
solid,"n. 固体；立方体
adj. 固体的；可靠的；立体的；结实的；一致的
"
take after sb.,"na. 尾随；仿效；像
"
irritating,"adj. 刺激的；气人的；使愤怒的
v. 刺激（irritate的ing形式）；激怒"
role model,"n. 楷模；榜样；典范
"
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
bath,"n. 沐浴；浴室；浴盆
vt. 洗澡
vi. 洗澡"
firm,"n. 公司；商号
adj. 坚定的；牢固的；严格的；结实的
vt. 使坚定；使牢固
adv. 稳固地
vi. 变坚实；变稳固"
loose,"adj. 宽松的；散漫的；不牢固的；不精确的
vt. 释放；开船；放枪
vi. 变松；开火
adv. 松散地
n. 放纵；放任；发射
"
doubtful,adj. 可疑的；令人生疑的；疑心的；不能确定的
refusal,n. 拒绝；优先取舍权；推却；取舍权
lenient,"adj. 宽大的；仁慈的
"
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩
"
interval,n. 间隔；间距；幕间休息
at intervals,"na. 时时；处处；偶尔
"
meanwhile,"adv. 同时，其间
n. 其间，其时"
succession,n. 连续；继位；继承权；[生态] 演替
trainee,n. 练习生，实习生；受训者；新兵；训练中的动物
instructor,n. 指导书；教员；指导者
hold,"n. 控制；保留
vi. 支持；有效；持续
vt. 持有；拥有；保存；拘留；约束或控制
又作“Hold住”使用，中英混用词汇，表示轻松掌控全局。
[ 过去式 held 过去分词 held或holden 现在分词 holding ]"
immense,adj. 巨大的，广大的；无边无际的；非常好的
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的
"
Olympic-standard,无
capital,"n. 首都，省会；资金；大写字母；资本家
adj. 首都的；重要的；大写的
"
fantastic,"n. 古怪的人
adj. 奇异的；空想的；异想天开的；古怪的；极好的，极出色的；不可思议的；不切实际的"
first-class,"adj. 优秀的；第一流的
adv. 优秀地；最好地；第一流地"
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
Look out!,(look 看+ out 出，外)
look sth. up,"v. 查找；查阅；探望；看望
"
look sb. up,"v. 查找；查阅；探望；看望
"
union,n. 联盟，协会；工会；联合
capital punishment,"n. 死刑；极刑
"
due to,"un. 由于；预定；因为；亏
"
motorway,n. 高速公路，汽车高速公路
avenue,n. 大街；林荫大道；[比喻](达到某物的)途径，手段，方法，渠道
high street,"n. 大街（城镇的主要街道）
"
builder,n. 建筑者；建立者
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居
"
settle down,"na. 定居；成家；移居；平静下来
"
even though,"na. “even if”的变体
"
continually,adv. 不断地；频繁地
bitterly,adv. 苦涩地，悲痛地；残酷地；怨恨地
sunshine,"n. 阳光；愉快；晴天；快活
"
as if,"na. 彷佛；活像
"
reality,n. 现实；实际；真实
keep an eye on sb.,"v. 密切注意
"
keep an eye on sth.,"v. 密切注意
"
courier,"n. 导游；情报员，通讯员；送快信的人
"
ID card,"n. 身份证
"
farmhouse,n. 农家，[农工] 农舍
burst,"n. 爆发，突发；爆炸
vt. 爆发，突发；爆炸
vi. 爆发，突发；爆炸
"
burst into tears,"na. 突然哭起来
"
countryside,n. 农村，乡下；乡下的全体居民
continuously,adv. 连续不断地
as though,"na. 好像；见 well 条
"
not any longer,"adv. 不再
"
permanently,adv. 永久地，长期不变地
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
following,"n. 下列事物；一批追随者
v. 跟随；沿行（follow的ing形式）
adj. 下面的；其次的，接着的"
bedside,"n. 床边，床旁
adj. 床旁的，枕边的"
bedside telephone,无
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
hospital exchange,无
inquire,"vi. 询问；查究；询价
vt. 询问；查究；问明"
inquire about sb.,"v. 询问；了解
"
inquire about sth.,"v. 询问；了解
"
certain,"adj. 某一；必然的；确信；无疑的；有把握的
pron. 某些；某几个
"
caller,"n. 访客；[通信] 呼叫者；打电话者；召集员
adj. 新鲜的
"
burst out,"na. 冒出；现出；突然发作；突然发生
"
burst out laughing,"na. 放声大笑
"
surgeon,"n. 外科医生
"
matron,n. 主妇；保姆；妇女；女舍监
on sb.'s own,无
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的；[数] 唯一的，独一无二的
"
knowledge,"n. 知识，学问；知道，认识；学科
"
dinner party,"n. （在家里举行的）宴会；家宴
"
hostess,n. 女主人，女老板；女服务员；舞女；女房东
unsmiling,adj. 严肃的；不笑的
tight,"adj. 紧的；密封的；绷紧的；麻烦的；严厉的；没空的；吝啬的
adv. 紧紧地；彻底地
"
fix,"n. 困境；方位；贿赂
vt. 使固定；修理；安装；准备
vi. 固定；注视
"
make conversation, 找话谈，进行无意义的空谈，闲扯
despair,"n. 绝望；令人绝望的人或事
vi. 绝望，丧失信心"
in despair,"na. 绝望地
"
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏
"
vary from sth.,"v. 不同于；不等于
"
vary from sb.,"v. 不同于；不等于
"
differently,adv. 不同地；差异；各种
make trouble,"v. 引起麻烦
"
progress,"n. 进步，发展；前进
vi. 前进，进步；进行
"
make progress,"na. 前进；进展
"
do sb.'s best,无
talkative,adj. 饶舌的；多话的；多嘴的；爱说话的
in case,"na. 以防万一；作为准备；如果；免得〔用作连词〕
"
loosen,"vt. 放松；松开
vi. 放松；松开
"
glance,"n. 一瞥；一滑；闪光
vt. 扫视；瞥见；擦过
vi. 扫视，匆匆一看；反光；瞥闪，瞥见
"
glance at sb.,"v. 看一下；浏览
"
glance at sth.,"v. 看一下；浏览
"
stick,"n. 棍；手杖；呆头呆脑的人
vi. 坚持；伸出；粘住
vt. 刺，戳；伸出；粘贴
"
stick sth. to sb.,"na. 忠于
"
stick sth. to sth.,"na. 忠于
"
entertain,"vt. 娱乐；招待；怀抱；容纳
vi. 款待"
entertain sb. to sth.,无
lighthouse,n. 灯塔
argument,n. 论证；论据；争吵；内容提要
forbid,vt. 禁止；不准；不允许；〈正式〉严禁
unable,adj. 不会的，不能的；[劳经] 无能力的；不能胜任的
improbable,adj. 不大可能的，未必确实的；不可信的；未必会发生的
incapable,adj. 不能的；无能力的；不能胜任的
be incapable of sth.,"v. 无能力
"
reflection,n. 反射；沉思；映象
idol,"n. 偶像，崇拜物；幻象；谬论
"
imagination,n. [心理] 想象力；空想；幻想物
liken,vt. 比拟；把…比作
liken sth. to sth., 把…比作；与……相比；比为
liken sth. to sb., 把…比作；与……相比；比为
liken sb. to sth., 把…比作；与……相比；比为
liken sb. to sb., 把…比作；与……相比；比为
musical,"adj. 音乐的；悦耳的
n. 音乐片"
snake charmer,"n. 耍蛇人；弄蛇人
"
pipe,"n. 管；烟斗；笛
vt. 用管道输送；尖声唱；用管乐器演奏
vi. 吹笛；尖叫
"
tune,"n. 曲调；和谐；心情
vt. 调整；使一致；为…调音
vi. [电子][通信] 调谐；协调
"
glimpse,"n. 一瞥，一看
vt. 瞥见
vi. 瞥见"
movement,n. 运动；活动；运转；乐章
tell,"vt. 告诉，说；辨别；吩咐；断定
vi. 讲述；告发，泄密；识别
"
tell the difference, 看出不同之处；辨别；说出不同
feel,"n. 感觉；触摸
vi. 觉得；摸索
vt. 感觉；认为；触摸；试探"
stuck,"v. 刺（stick的过去式）
adj. 被卡住的；不能动的
"
pick sth. up,"v. 拾起；探出；重新开始
"
pick sb. up,"v. 拾起；探出；重新开始
"
pick sb. out,"na. 挑选；掘出；闻出；领会
"
pick sth. out,"na. 挑选；掘出；闻出；领会
"
select,"n. 被挑选者；精萃
adj. 精选的；挑选出来的；极好的
vt. 挑选；选拔
vi. 挑选"
trick,"n. 诡计；恶作剧；窍门；花招；骗局；欺诈
adj. 特技的；欺诈的；有决窍的
vt. 欺骗；哄骗；装饰；打扮
vi. 哄骗；戏弄
"
in order to,"na. 为了；从而；以便
"
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升
"
melody,"n. 旋律；歌曲；美妙的音乐
"
echo,"n. 回音；效仿
vt. 反射；重复
vi. 随声附和；发出回声"
harmony,"n. 协调；和睦；融洽；调和
"
pole,"n. 杆；极点；电极
vt. 用竿支撑"
successfully,adv. 成功地；顺利地
at first,"na. 首先
"
