a bit,"na. 有点儿〔作副词用〕
"
available for, 可用于；适用范围；适用于某物
away from,"离开,远离,脱离,不在"
back and forth,"na. 来回地
"
back away,"v. 后退；退让；退缩
"
back down,"na. 打退堂鼓；放弃权利等
"
back off,"na. 退避；后退
"
back out,"na. 打退堂鼓；食言；退出；后退
"
back up,"na. 支持；堵塞；【棒球】抢救后方；【计算机】把(文件等备份)
"
bang against,"na. 砰地撞上
"
bang into,"v. 碰上
"
bank on sb.,"na. 信赖
"
bank on sth.,"na. 信赖
"
bargain for, 为购买（某物）讨价还价; 料到，考虑到（某情况）; 预料
bargain on, 依靠; 信赖; 料到; 考虑到（某情况）
base on,"v. 根据
"
be in the mood, 想要做某事；在状态；有心情
be not in the mood,无
be in the mood for sth.,"vt.想,有意"
be in the mood to do sth.,无
be not in the mood for sth.,无
be not in the mood to do sth.,无
be about to,"na. 准备
"
be absent from,"na. 不在(家)；缺(工)
"
be absorbed in,"na. 全神贯注在…；热衷于
"
be abundant in,丰富的，富裕的
be accused of, 被指控；被指责，谴责；被控诉，控告
be accustomed to,"na. 惯于(苦干,早起)
"
be adapted to,"v. 适合于；适应
"
be addicted to,"na. 嗜好
"
be adequate for,适合
be adjacent to,"与…毗邻,靠近…."
be advisable to do,无
be alien from,与…相异
be alien to,"v. 与…相反
"
be annoyed with,"v. 因…烦恼
"
be applicable to,"v. 适用于；能应用
"
be ashamed of,"na. 以为…是耻辱
"
be associated with,"v. 与…联系
"
be attached to,"na. 爱上；隶属于
"
be aware of,"na. 知道
"
be away from, 远离；离开；从……离开
be beneficial to,"v. 有益于
"
be better off,"na. 情况[处境]更好；更加富有；处境较好
"
be biased against,"na. 对…抱有偏见
"
be blind to,"na. 不明
"
be bound to,"v. 一定要；决心
"
be bound up with,"na. 与…有密切联系；与…结合在一起；和…有密切关系
"
be capable of,"v. 能够承担
"
be cautious about,无
be certain of,"v. 确信；深信
"
be characterized by,"na. 有…的(显著)特点
"
be comparable with,"v. 可比于
"
be comparable to, 比得上；和…相当；犹如
be compatible with,"v. 与…兼容
"
be composed of,"na. 由…组成
"
be concerned about,"na. 关心；挂念
"
be concerned with,"na. 干与；关怀
"
be confident in, 对…有信心；对……充满信心；信任
be confident of,"na. 对(成功)满怀信心
"
be conscious of,"na. 意识到
"
be consistent with,"v. 与…一致
"
be content with,"na. 以…为满足
"
be contrary to,"v. 不同于
"
be critical of, 批评的；爱挑毛病的；对……持批评态度
be crucial to, 对……至关重要；决定性的；重要的
be curious about,"na. 对(某事物)感到好奇
"
be deemed as, 被视为
be deficient in,缺乏，欠缺…，在…方面有所不足
be dependent on,"na. 依靠
"
be dependent upon,依靠(他人供给吃、住、钱等)，依赖；随…而定；依…而转移
be deprived of,"na. 失却
"
be designed to do,无
be dissatisfied with,"na. 不满于
"
be dissatisfied at,vt.对...不潢
be distinct from,"v. 与…有差别
"
be divided into, 被分成；被分为；被划分为
be doomed to, 注定；注定要；注定注定要
be doubtful about,对…感到怀疑
be eager to do, 渴望做某事；急于做某事；急欲
be easy of access,"vt.容易接近,容易得到,容易进入"
be eligible for, 有资格；对•••有资格；合格的
be enthusiastic about, 热衷于；对…热情；对……怀着热情
be entitled to, 有权；有资格；有权做
be envious of,"v. 嫉妒
"
be equal to,"na. 等于；胜任；赶得上；忍耐得住
"
be equivalent to,"na. 等于；相当于
"
be essential to,"v. 对…必不可少
"
be exhausted from,无
be exposed to, 暴露于；面临；暴露在
be faced with,"v. 面临
"
be familiar to,"v. 熟悉
"
be familiar with,"na. 精通；同…相好
"
be fascinated by, 被…所吸引；迷醉；对…着迷
be fearful of, 担心；惧怕；害怕
be filled with, 充满；装满；充满着
be fit to, 适合
be good for,"na. 值…
"
be grounded in, 以……为根据；以……为基础
be happy with, 对……感到满意；对…满意；高兴
be identical to, 与…相同；一致；同……一模一样
be identical with,"v. 与…相同
"
be immersed in,"v. 沉浸在；埋头于
"
be immune from,无
be immune to,"对...有免疫力, 可避免..., 不受...的影响"
be implicit in,无
be inclined to do, 倾向于做某事；喜欢做；表示强烈的意愿
be inclusive of,包括…
be independent of,"na. 独立于…之外的；与…无关的
"
be indispensable to, 对…必不可少；至关重要的；对……必不可少的
be indispensable for,无
be indicative of, 表明；暗示；表示
be indifferent to,"na. 对…不关心
"
be indignant at, 对某事感到愤慨；都某事感到愤慨
be indignant with,对…感到愤慨
be inferior to, 劣于；不如；低于
be innocent of, 无罪的；无辜的；清白的
be instrumental in, 在某方面起到关键作用；在某方面起作用
be intent on,"v. 对…一心一意
"
be involved in,"na. 被包入；被卷入漩涡
"
be irrelevant to, 不切题；与…不相干；与…不相关
be irrespective of,无
be isolated from, 绝缘；自…被分离出来
be jealous of,"v. 妒忌
"
be junior to, 年龄小于；比……年轻；比…年少
be keen on,"na. 喜爱
"
be keen to do,想做
be known as,"na. 通称
"
be known for,"un. 公认；闻名；以…著称
"
be lack of,无
be liable for, 对…应负责任的；对…负责；有责任
be liable to,"该受(罚), 应遵守..., 有...的倾向, 易于..."
be loyal to,"v. 忠实于
"
be married to,"un. 给…证婚；嫁给…
"
be meant to, 有意要；应该是；打算
be nervous about,无
be objective about,无
be obliged to,"na. 感谢；不得已而…
"
be obsessed with,"un. 昼夜萦绕在…心头；被…缠住；埋头研究
"
be open to,"na. 易受；易接受；对…开着门
"
be opposed to,"v. 反对；与…相对
"
be optimistic about, 对……乐观；对…很乐观；对于…感到乐观
be partial to,"na. 偏爱
"
be peculiar to,"v. 限于
"
be popular with,"na. 受…欢迎
"
be prepared for,"na. 准备着
"
be proficient in,"v. 精通
"
be prone to,"v. 易于…的
"
be proud of,"na. 以…自豪
"
be puzzled about,无
be relevant to,"v. 有关
"
be reluctant to do,无
be remarkable for, 以…而著称；在某方面显著；很突出
be resistant to, 抵抗的；抗拒；有抵抗力的
be responsible for,"v. 负责；担负
"
be rigorous with,无
be satisfied with,"v. 满足于
"
be scheduled for,"订于…,定于…"
be secondary to,无
be sensitive to,"na. 对…敏感
"
be sick of,"v. 讨厌
"
be skeptical of,无
be skeptical about,无
be skillful in, 善于；在…方面熟练；精于
be skillful at, 技术熟练；熟悉；擅长于
be soft on,"爱上
钟情于
对......温柔"
be stubborn about,无
be stuck in, 陷入；陷进；陷于
be stuck with, 无法摆脱；遇到困难无法进行下去；解脱不了
be subject to,"un. 给；降伏；受…支配；受…影响
"
be suitable for,"v. 合适
"
be suited for,适合…
be suited to, 适合于；适宜；合适
be superior to,"na. 比…好；超然于
"
be supposed to,"na. …(在职务上)要；〈口〉不许
"
be sure of,"na. 确信
"
be susceptible of,能…的;容许的
be susceptible to,"na. 对…敏感
"
be suspicious of,"v. 怀疑
"
be tempted to do,无
be terrified at,"na. 给…吓一跳
"
be terrified with,"na. 给…吓一跳
"
be tired of,"v. 厌烦；厌倦
"
be to blame,"na. 该负责
"
be tolerant of,"na. 对…能容忍
"
be typical of,"v. 代表；象征
"
be unaware of, 不知道；没有意识到；没意识到
be unfamiliar with, 不熟悉；对…不了解或不熟悉
be up to,"un. 面对；在干；居心
"
be used to do,无
be weary of, 对…感到厌倦；厌烦；厌烦的
be willing to do,"na. 乐意进行
"
be unwilling to do,无
be worse off,"na. 经济情况更不好；情况恶化；更加贫困
"
be worth doing,值得做……
be worthy of, 值得；配得上；对得起
be fed up,"v. 减轻；低估；极其厌倦
"
get fed up,无
be fed up with,"na. 吃…吃得过饱；厌倦
"
get fed up with,无
be in shape, 身体好
get in shape, 健身；恢复体型；保持身材
be on a diet, 节食；节食减肥；正在节食
go on a diet, 节食；实行节食；减肥
bear up,"na. 支持；咬紧牙关坚持；【航】驶向下风
"
bear ... a spite,无
owe ... a spite,无
beat around the bush,"na. 转弯抹角
"
beat about the bush,"na. 旁敲侧击；拨打草丛搜索猎物；旁敲侧击的刺探人意
"
beat ... to the punch, 先发制人；捷足先登；抢得先机
because of,"na. 因
"
before long,"na. 不久；不(需很)久
"
behave oneself, 规规矩矩；守规矩；有礼貌
behind one's back, 背后；在某人之背后；背着某人
behind schedule,"na. 比预定时间晚
"
behind the scenes,"na. 知道内幕；秘密地
"
believe in,"v. 相信
"
belong to,"v. 属于；附属
"
bend over backwards,"矫枉过正, 拼命"
bend over backwards to do,无
benefit from,"v. 从…得到好处
"
benefit by,"v. 得益于
"
beside the point,"na. 达到目的；说服别人
"
between jobs, 失业；待业中；工作之间
beyond question,"na. 毫无疑问；一定
"
beyond all question,"na. 毫无疑问；一定
"
beyond description,"na. “beyond expression”的变体
"
beyond dispute,"na. 无争论余地；的确；无疑
"
beyond expression,"na. 形容不出；无法表达
"
beyond one's comprehension, 不可理解
beyond words,"un. 明理人不用细说；难以形容
"
bid for,"na. 投标求包(工程)；出价竞买(某物)；争取得到(拥护等)
"
bid up,"un. 〔经〕哄抬(价格)；追逐；买；抬高
"
blame sb. for sth., 因……责备；责怪；因…怪罪
blast off,"na. (使)(火箭等)发火起飞
"
blunder about,v. 瞎闯；乱撞
blunder around, 碌碌
blunder on,"na. 无意中发现
"
blunder upon,"na. 无意中发现
"
boast about,"na. 夸耀
"
boast of,"na. 夸耀
"
boil down to,"na. (被)归结起来是…；(审判等到最后)表明
"
boot up,"un. 启动；自举；引导；使系统开始工作
"
bounce back,"na. 很快挽回(颓势,败局)
"
bound for,"adj. 驶往…的
"
branch off,"na. (道路等)分叉
"
branch out,"na. (树)发枝；(话等)横生枝节；(事业等)扩大规模
"
break a promise,"na. 违反诺言；不守诺言；违约
"
break away,"v. 逃脱；突然离开；突然离去；挣脱
"
break away from,"v. 脱离；离开；断绝与…的关系
"
break down,"v. 分解；抛锚；分析；划分
"
break in,"na. 闯入；插嘴；驯(马)；训练(人)
"
break into,"na. 闯进；拦(别人话头)；侵占(别人时间等)；突然…起来
"
break off,"v. 断绝；摘；把…折断；使脱落
"
break out,"na. 起；(战争等)突发；(囚犯等)逃脱；【航】起(锚)
"
break the back of,"na. 办完(某事)的极困难部分；毁坏；伤其要害；克服某事最艰巨的部分
"
break through,"na. 【军】突破(点)；(科技等的)重大发现；关键问题的解决
"
break up,"v. 拆散；打碎；剖割(兽体等)；破坏
"
brighten up,"na. 同“brighten ”
"
brim with, 洋溢；洋溢着；充满着
brim over with,"na. (精神等)饱满；(才华等)横溢；漫出
"
bring about,"na. 造成；带来；【航】(使船)回转
"
bring back,"na. 送回；使恢复；使回忆起
"
bring down,"na. 降低；击落；削减；使落下[跌落]
"
bring forth,"na. 提出；生
"
bring forward,"na. 提出(计划等)；提示；提前；公开
"
bring in,"na. 生产；生(利)；收获(农作物等)；挣得(报酬等)
"
bring out,"na. 公布；说出；出版；上演
"
bring sth. into sth., 使达到…; 把…拿入; 使开始生效; 使清楚地被人理解[知道]
bring to,"na. 使恢复知觉；【航】使停船
"
bring up,"na. 抚养；教导；教育；在…长大
"
bring into effect,"na. 使生效；使起作用；实行
"
carry into effect,"na. 使生效；使起作用；实行
"
put into effect,"na. 实行
"
bring ... into practice,实行，实施；付诸实践
put ... into practice,"na. 实行
"
brood about,"vt.苦思,沉思"
brood over,"na. 俯视；笼罩
"
brood on,"un. 郁闷地沉思
"
brush aside,"na. 刷去；扫除；无视
"
brush off,"na. 刷去；打发走；摒弃；逃掉
"
build on,"na. 依赖；把…建筑于
"
build up,"na. 同“build”；建立；复兴；【军】集结(部队)
"
bump against,"un. 邂逅相遇；撞
"
bump into,"v. 偶然碰到；邂逅；遇见；(意外)撞到
"
bump along,颠簸而行
bump down, 光杆下行撞击
bundle up,"na. 同“bundle”
"
burn down,"na. 把…烧成平地；(蜡烛等)逐渐烧完；火力减弱
"
burn out,"na. 烧起来；烧光；烧尽；烧断
"
burn up,"na. 烧完；旺起来；使恼怒；发怒
"
burst into,"na. 闯进；突然…起来
"
but for,"na. 要不是；除…而外
"
but then,"na. 但是；但是另一方面
"
but then again, 但是一样的是；但在那时；话说回来
butt in,"na. 插手
"
buy off,"na. (用贿赂)收买；用钱疏通[保护,救]；同“buy”
"
buy out,"na. 出钱使某人出让地位[产权等]；买下…的全部产权
"
buy up,"na. 囤积；整批收购；购进(其他公司)
"
buzz about, 跑来跑去；闹哄哄地跑来跑去；匆忙而紧张地行动
buzz around," <俚>匆忙而紧张地行动, 乱哄哄地跑来跑去"
by a large margin,无
by accident,"na. 偶然 (opp. on purpose)
"
by all means,"na. 必定；千方百计；不惜一切；好的
"
by analogy,"na. 照此类推
"
by and large,"na. 总的说来
"
by chance,"na. 偶然
"
by comparison,"na. 比较起来
"
by contrast,"un. 相比之下；作对比；与此相反
"
by courtesy of,"na. 由于…好意
"
by design,"un. 设计；有意的
"
by far,"na. (修饰比较级,最高级,表示数量,程度等)…得多；尤其；更
"
by hand,"na. 用手的；用手递交的；(婴儿)用牛奶抚养的
"
by heart, 牢记；凭记忆；熟记
by inference, 根据推理；根据推测；据推论
by means of,"na. 以
"
by mistake,"na. 因错误
"
by nature,"na. 生就；从本性上说
"
by no means,"na. 决不；并没有
"
by occasion of, 由于；因为
by reason of,"na. 凭…的理由
"
by sheer chance, 完全处于偶然；纯属偶然地；完全出于偶然
by the book,"na. “by book”的变体
"
by the end of,"prep. 在…尽头
"
by the name of,"na. 名叫…的
"
by the same token,"adv. 举证
"
by the time,"na. 到…的时候
"
by the way,"na. 见 way 条
"
by turns,"na. 轮流
"
by virtue of,"na. 靠
"
by way of,"na. 当做；作出…的样子；经由；以便
"
by leaps and bounds,"na. 飞跃地；连跑带跳地
"
in leaps and bounds,"un. 飞速地；飞跃；真快
"
call about sth., 为调查…而访问；找…谈某事
call sb. about sth., 为调查…而访问；找…谈某事
call at,"na. 访问(某家)；(车船)停靠(某地)
"
call for,"na. 呼吁；主张；需要；接(某人)
"
call forth,"na. 唤起
"
call in,"na. 招；叫进；引入；调入
"
call off,"na. 〈口〉命令停止；丢手；取消(婚约)；〈美〉点(名)
"
call on,"na. 号召；指名要(某人)去干(某事)；请求；访问
"
call upon,"na. “call on”的变体；同“call on ”
"
call up,"na. 传；动员；打电话给；【电讯】呼唤
"
calm down,"na. 平静下来
"
can't help doing, 禁不住做某事；情不自禁做某事；忍不住做某事
couldn't help doing,无
cancel out,"v. 相约；相消；抵消
"
care about,"v. 在意
"
care for,"v. 照顾；关心；喜欢
"
carry forward,"na. 推进；发扬；结转；使进行
"
carry off,"na. 得(奖)；夺去；诱拐；(病)夺去人命
"
carry on,"adj. (飞机乘客的行李)可随身携带的
n. (飞机乘客的)随身行李
"
carry out,"na. 实行；开展；完成
"
carry through,"na. 完成(计划等)；坚持到底
"
carry ... into effect,"na. 使生效；使起作用；实行
"
bring ... into effect,"na. 使生效；使起作用；实行
"
carve out, 雕刻出…; 用辛勤的劳动创造出…; 剜
carve up, 把（某物）切成块; <贬><非正>瓜分[划分]（某物）; 脔割
cash down,"na. 即付
"
cash in on,"na. 用…赚钱；利用
"
cast about for,"na. 寻觅；搜集；物色；想(方法等)
"
cast out,"na. 扔出；赶出；吐出；〈英〉吵闹
"
cast light on, 映照；阐明；使明白
shed light on,"na. 阐明；解释；将…弄明白；照亮
"
throw light on,"na. 弄明白
"
cast light upon,阐明;使人理解某事;使某事更为清楚 [亦作 shed (或 throw a flood of) light on (或 upon)]
shed light upon,阐明;使人理解某事;使某事更为清楚 [亦作 shed (或 throw a flood of) light on (或 upon)]
throw light upon, 阐明，使…清楚
catch fire,"na. 着火
"
catch on,"na. 流行；受欢迎；理解；懂得
"
catch one's breath,"na. 忍住呼吸；休息一下；紧张起来
"
catch one's eye,"un. 胡说；引起…的注意
"
catch sight of,"na. 看出
"
catch the attention of,引起…的注意
catch up,"na. 与…并驾齐驱 (to with)；扰乱(说话人)
"
catch a glimpse of,"na. 瞥见；看一眼
"
get a glimpse of,"na. 瞥见；看一眼
"
cater for,"un. 备办食物:；凑合
"
cater to,"v. 迎合
"
charge sb. with,"na. 托付；使负…的罪名；使受…的责备
"
chase after,"v. 追逐
"
check in,"v. 〈美〉报到；(旅馆)登记
"
check out,"na. 开支票(提款)；(旅馆)付账后离开；及格；〔美俚〕死
"
check up,"na. 检查；〔美国〕试验(工作的效率,精确程度等)
"
check on,"na. 检查
"
check with,"na. 与…相符合
"
cheer for,"un. 给加油
"
cheer up,"v. 鼓舞；振作一点
"
chew on,"un. 咀嚼；深思
"
chew over,"na. “chew upon”的变体
"
civil servant,"n. 公务员；政府官员
"
claim for,"v. 要求
"
clamp down,"v. 严厉打击；强制执行；严禁；施压
"
clamp down on, 压制，取缔
clean up,"na. 收拾干净；【机械工程】改正；〔俚语〕赚厚利
"
clear away,"na. 扫除；砍去；(雾等)消散
"
clear off,"na. 理清(工作等)；清算；卖掉；撵走
"
clear out,"na. 清空；腾空；清理；〈非正式〉匆忙离开
"
clear up,"na. 整顿；说明；(天气)转晴
"
click on, 点击；用鼠标点击；单击
cling to,"v. 依附；坚持
"
close down,"v. 关闭；关门；倒闭；歇业
"
close in,"na. 迫近；(白天)渐短
"
close up,"na. 靠紧；(伤)愈合；密闭；〔美国〕结束
"
cluster around, 聚集在；簇拥上来；集中发生
cluster together,(使)集中; (使)成群
coincide with,"v. 与…一致
"
collaborate with,"v. 私通
"
collide with,"v. 碰撞
"
combine with,"na. 和…结合；与…化合
"
come across,"na. 尽(义务)；发现；碰见；(穿过…)来到
"
come along,"na. 进步；同意；一道来；请过来
"
come apart,"na. (精神)错乱；分开了
"
come around,"na. 赶上；达到；袭击
"
come round,"na. 苏醒；(生气的人)消除怒气；(病后)复原；(从某处)转来
"
come at,"v. 得到；达到
"
come away,"na. 脱掉
"
come away from, 某物脱离了另外一个物体；空手而回
come back,"na. 回来；想起来；〔口语〕复原；归
"
come between,"na. 介入…之间；离间
"
come by,"na. 到手；通过附近；〔美俚〕拜访
"
come close to,"v. 差一点
"
come down to,"v. 降至；归结起来；变为；归结为
"
come down with,"na. 生病；得(病)
"
come down,"na. 败落；退步；(飞机的)下降
"
come in contact with,"na. 和…接触[冲突]；碰见
"
come in for,"na. 来取；接受；受到(处分等)
"
come into existence,"na. 产生；成立
"
come into use,"na. (某物)开始被使用
"
come off,"na. 同“come across”；(人)走了；(扣子,齿,发)脱落
"
come on,"na. (演员)出台；进行(很好)；(暴风雨等)起；(病,苦痛等)加深
"
come out with,"na. 发表；讲出；泄露(秘密)；展出
"
come out,"na. 出来
"
come over,"na. 渡过来；(从敌方)过来；变挂；〔口语〕欺骗
"
come through,"na. 胜利；脱险；支付；捐献
"
come to blows,"na. 互相打起来；开战
"
come to grief,"na. 失败；受伤；受欺负；出毛病
"
come to one's senses,"na. 恢复理性；恢复知觉；苏醒过来；醒悟过来
"
come to the fore,"na. 发作；惹人注意
"
come to the point,"na. 说正题
"
come to,"na. 总计为；结果是；苏醒；把船朝着风头
"
come true,"na. (预言等)成事实；实现；(作物)不变种地发芽生长
"
come up against,"na. 遭到(反对)；与…矛盾
"
come up to,"na. 到达；不亚于；不负(期待)
"
come up with,"na. 想出(一个主意或计划)；提出；提供；筹措
"
come up,"na. 走近；上升；抬头；(暴风雨等)起
"
come with, 伴随…发生；与……一起供给；与……一起来
come to a halt,"na. 停止
"
bring to a halt,na. 使停止
come into effect,"na. 开始实施
"
go into effect,"v. 生效
"
come into operation,"na. 开始工作；生效
"
go into operation,"na. 开始运转；生效
"
comment about,无
comment on,"v. 评论
"
commit oneself to,"na. 委身于
"
commit suicide,"na. 自杀；自尽
"
communicate with,"v. 联络
"
compare with,"na. 和…比较[对照]
"
compare ... to,"un. 核对记录；商量了一番；比较；和…相仿
"
compel sb. to do,无
compensate for,"v. 补偿；抵偿
"
compete against,"v. 竞争
"
compete with,"v. 竞争
"
compete in,"v. 竞争
"
compete with,"v. 竞争
"
complete with,"un. 配上
"
comply with,"v. 遵守
"
compose oneself to do,无
conceal sth. from sb.,"na. 对(人)隐蔽
"
conceive of,"na. 想出(计划)
"
concern oneself about,"vt.关心,挂念"
concern oneself with,"na. 从事
"
conclude from, 相信某事物；从··推断出；从···中得出结论
conclude with,"v. 结束
"
confer ... on sb.,"un. 授给
"
